logFC	P.Value	tf	DMSO	SP1	p_adjusted	sig
0.680061772830612	0.0190494281009742	RANDOM3_2_minP	-0.71086198728947	-0.0308002144588581	0.497478146888994	NS
0.563241504317502	0.0563685659383577	ETS2	1.22137975673003	1.78462126104753	0.559349615849857	NS
0.399951337584893	0.102930335737716	PGR	-1.08090836793449	-0.680957030349596	0.596477156396821	NS
0.269833527975611	0.200707327872319	RANDOM2_1_minP	-1.39664016600571	-1.1268066380301	0.742723434559868	NS
-0.481529593152408	0.189035194021665	GATA3	-1.03524344178813	-1.51677303494054	0.742723434559868	NS
-0.281832166560602	0.230938821928744	RANDOM1_1_minP	-1.37234493710995	-1.65417710367055	0.742723434559868	NS
-0.232399487660071	0.240669493035847	RANDOM1_3_minP	-1.10904681043661	-1.34144629809668	0.742723434559868	NS
-0.226248147783792	0.245188667725043	RANDOM2_3_minP	-1.11403901320789	-1.34028716099168	0.742723434559868	NS
-0.288460314849037	0.257059070670672	RANDOM2_2_minP	-1.18267717620792	-1.47113749105695	0.742723434559868	NS
-0.156429092619405	0.537954263144306	NFAT5	-0.340610968804247	-0.497040061423653	0.937850053148769	NS
0.1744287390947	0.588162856598291	PPARA::RXRA	-0.985115623465267	-0.810686884370566	0.937850053148769	NS
-0.144011341248139	0.609525539450963	RANDOM1_2_minP	-1.03992901840772	-1.18394035965586	0.937850053148769	NS
-0.216753936421046	0.546914079513808	ONECUT1	-1.27799009356527	-1.49474402998632	0.937850053148769	NS
-0.094405252830426	0.614794392218356	ATF4	2.11192891738884	2.01752366455841	0.937850053148769	NS
-0.105080950225878	0.660482172737738	ATF6	0.625163433961254	0.520082483735376	0.937850053148769	NS
0.119929696114547	0.5903703476571	RXRA	0.844917826756191	0.964847522870738	0.937850053148769	NS
-0.132694418351056	0.575349215128839	RANDOM3_3_minP	-0.500026455486001	-0.632720873837057	0.937850053148769	NS
0.0808903721059852	0.712475234175034	OTX1	-1.17560126265123	-1.09471089054524	0.937850053148769	NS
-0.113647087845684	0.814756122814386	THRB	-0.744804528927405	-0.858451616773089	0.973180924472739	NS
-0.180159286186882	0.681605072037954	RARA	-2.73959720104776	-2.91975648723464	0.937850053148769	NS
-0.0556752806183128	0.86432025080749	RUNX2	-1.20969872832015	-1.26537400893846	0.984327124014763	NS
-0.0761388964558205	0.813914325892162	NFIA	-1.54293284250081	-1.61907173895663	0.973180924472739	NS
-0.0582309183556535	0.857691746773357	AR	-1.22518827679346	-1.28341919514912	0.984327124014763	NS
0.0162706118196754	0.937246937225767	MYBL2	-0.938892145906494	-0.922621534086818	0.984327124014763	NS
-0.0629221036443438	0.806097987776802	CEBPA	-1.31034565770496	-1.3732677613493	0.973180924472739	NS
0.00350952737648793	0.993076826109205	STAT1	-1.88609186026065	-1.88258233288416	0.999728626101364	NS
-0.0124611536648914	0.963790994357935	ATF2	-0.789576000669457	-0.802037154334349	0.992584309209231	NS
0.019482791113413	0.933893263362556	ZFP42	-1.10710560575967	-1.08762281464626	0.984327124014763	NS
-0.0766814452291877	0.708807707324102	RANDOM3_1_minP	-0.492112541386278	-0.568793986615466	0.937850053148769	NS
-0.101319123837782	0.696722126237442	FOXO1	-0.7812161917353	-0.882535315573083	0.937850053148769	NS
0.0480598422738762	0.765026199963281	POU5F1::SOX2	2.77115148855209	2.81921133082597	0.967533135247679	NS
-0.0707774273507008	0.735349126501528	GRHL1	0.836928337222559	0.766150909871859	0.948600373186971	NS
8.25185066731509e-05	0.999728626101364	ZFX	-0.367767676555804	-0.367685158049131	0.999728626101364	NS
-0.0414974126587639	0.787885615791269	POU2F1	0.513387275700096	0.471889863041332	0.973180924472739	NS
-0.502096768755984	0.0156135384711259	RANDOM1_1_mCMV	-2.39042315146586	-2.89251992022185	0.497478146888994	NS
-0.298544791612118	0.0250341483430868	REL	0.81269553234811	0.514150740735992	0.497478146888994	NS
-0.364082557295231	0.027164321068845	NR1I3	-1.89508556032017	-2.2591681176154	0.497478146888994	NS
0.343774009182934	0.0330992577992432	STAT4	-0.113542608826492	0.230231400356442	0.497478146888994	NS
0.31952542845206	0.0424206171765809	SREBF1	-1.96967808512172	-1.65015265666966	0.497478146888994	NS
0.239499291134496	0.0761120967189079	IRF1	-2.04965879387943	-1.81015950274494	0.596477156396821	NS
-0.442998754934075	0.0414031338662335	VDR::RXRA	-1.6680140646335	-2.11101281956757	0.497478146888994	NS
0.322129775859914	0.0485372450698058	TCF7	2.19144661000076	2.51357638586067	0.521775384500412	NS
-0.316684333033528	0.0754883235975762	FOSL1	-0.983889539240802	-1.30057387227433	0.596477156396821	NS
0.461994182300973	0.0801011580352286	PPARG::RXRA	-2.4924960247034	-2.03050184240243	0.596477156396821	NS
0.444628988427063	0.0883511059273476	RANDOM3_2_mCMV	-1.74787620805915	-1.30324721963208	0.596477156396821	NS
0.379932895336331	0.0983938344552425	ESR1	-2.02421620593151	-1.64428331059518	0.596477156396821	NS
0.395425299407008	0.106348640287805	NFATC1	-2.03370953381334	-1.63828423440634	0.596477156396821	NS
