logFC	P.Value	tf	DMSO	CH	p_adjusted	sig
-0.642273489484658	0.0002032729176568	GRHL1	0.604612174476786	-0.037661315007872	0.00650473336501761	Downregulated
-0.500819631285011	0.00362091666999636	RXRA	0.381502524463541	-0.11931710682147	0.0514974815288371	NS
0.545394188570736	0.00582633239144237	RANDOM3_2_minP	-0.584934116454419	-0.039539927883683	0.0745770546104624	NS
0.935693744243387	0.0419706306201642	RANDOM2_2_minP	-2.10966673984033	-1.17397299559694	0.285631010498879	NS
-0.369241491564758	0.0634470888215748	POU2F1	0.366420430714102	-0.00282106085065642	0.351852639194024	NS
0.349535896674036	0.0659723698488795	NFAT5	-0.829703462454835	-0.4801675657808	0.351852639194024	NS
-0.494604271747773	0.0753273759079849	RANDOM1_1_minP	-0.646945487852856	-1.14154975960063	0.370842466008541	NS
0.227534303415909	0.0721167560122545	ZFX	-0.0470563255445112	0.180477977871398	0.369237790782743	NS
0.672076277821295	0.191474402176936	OTX1	-1.13854729912459	-0.46647102130329	0.569970313456926	NS
0.365434740124818	0.231536172565941	RANDOM2_1_minP	-0.518242105749849	-0.152807365625031	0.628725718119776	NS
0.448081533997827	0.196779629698115	RANDOM3_3_minP	-1.00853441152804	-0.560452877530211	0.572449831849063	NS
0.234299096606299	0.104312412932349	RANDOM3_1_minP	-0.413694172632087	-0.179395076025788	0.456775331809384	NS
0.219082319453173	0.43897965762627	RANDOM1_3_minP	-0.8516743347755	-0.632592015322327	0.891895177399405	NS
0.430302236915932	0.359331583961196	STAT1	-2.69844337991372	-2.26814114299779	0.821329334768447	NS
0.208764554547413	0.48426499517083	PPARA::RXRA	-1.50050688400575	-1.29174232945834	0.908130000950612	NS
-0.164508891456267	0.388368735846635	POU5F1::SOX2	2.55664462084791	2.39213572939164	0.843494006530403	NS
0.172487319662422	0.479157654160126	RANDOM1_2_minP	-1.50136580417089	-1.32887848450847	0.908130000950612	NS
-0.244943679785903	0.554159264921671	RARA	-1.3908253488846	-1.63576902867051	0.908130000950612	NS
0.155188409943237	0.448600580677434	MYBL2	-0.951330794218199	-0.796142384274962	0.897201161354868	NS
0.236525043943328	0.583686102746357	ATF2	-1.37955436951964	-1.14302932557632	0.908130000950612	NS
0.114989259353625	0.716809512279554	PGR	-0.847317548207453	-0.732328288853828	0.908130000950612	NS
-0.148801191642749	0.750816051825277	RANDOM2_3_minP	0.192861724102499	0.0440605324597499	0.908130000950612	NS
0.110183435650613	0.67282295279919	FOXO1	-1.04238920144434	-0.932205765793727	0.908130000950612	NS
-0.182771238353846	0.675388828407157	CEBPA	-1.48565656393344	-1.66842780228729	0.908130000950612	NS
0.311661078465941	0.515479105032915	GATA3	-1.52542107752422	-1.21375999905828	0.908130000950612	NS
-0.163567520977098	0.669819515239134	NFIA	-1.9379648686986	-2.1015323896757	0.908130000950612	NS
-0.0605790783708983	0.796912909348625	RUNX2	-1.57588319099124	-1.63646226936213	0.908130000950612	NS
-0.127427075142286	0.777082261608418	THRB	-0.849818241130342	-0.977245316272628	0.908130000950612	NS
