logFC	P.Value	tf	DMSO	PMA	p_adjusted	sig
0.355010703009557	0.0525934061581864	ONECUT1	-1.40592235193698	-1.05091164892743	0.678107357407369	NS
0.412953031292017	0.0449306826506282	RANDOM1_2_minP	-1.26729593410574	-0.854342902813726	0.678107357407369	NS
0.314032442089724	0.0931704119472575	RANDOM3_2_minP	-0.700756352009653	-0.386723909919929	0.678107357407369	NS
0.373477085721204	0.132238607464231	RARA	-2.51181340918492	-2.13833632346372	0.678107357407369	NS
-0.199157496423456	0.177888521857008	RXRA	0.902621573022182	0.703464076598726	0.678107357407369	NS
0.210000110411132	0.190914343784815	RANDOM3_1_minP	-0.628391360469734	-0.418391250058603	0.678107357407369	NS
0.194418089624434	0.200355024786621	RANDOM2_3_minP	-1.21483991230303	-1.02042182267859	0.678107357407369	NS
0.206834120128504	0.208510997074075	ZFP42	-1.09181589014287	-0.884981770014364	0.678107357407369	NS
0.223086806441582	0.216162440281823	CEBPA	-1.2459837825388	-1.02289697609722	0.678107357407369	NS
0.228200054265679	0.218461045086373	AR	-1.44763245528514	-1.21943240101946	0.678107357407369	NS
0.207545271765123	0.237926268487025	RANDOM2_2_minP	-1.28518158400209	-1.07763631223697	0.678107357407369	NS
0.202579327023166	0.238216697752014	RUNX2	-1.19200149975403	-0.989422172730861	0.678107357407369	NS
-0.192310113802127	0.242261358783748	GRHL1	0.854344702525136	0.66203458872301	0.678107357407369	NS
0.209411737456542	0.249847849764386	RANDOM1_1_minP	-1.29347033810506	-1.08405860064852	0.678107357407369	NS
0.235655927605473	0.24987456963729	RANDOM1_3_minP	-1.32299090483289	-1.08733497722742	0.678107357407369	NS
0.218658235776406	0.269124288986695	RANDOM2_1_minP	-1.48013798851838	-1.26147975274197	0.678107357407369	NS
-0.179659031733287	0.303754363523943	POU5F1::SOX2	2.72471671138917	2.54505767965588	0.681454454445721	NS
0.166503463761698	0.338643709057002	NFIA	-1.34171019397799	-1.17520673021629	0.681454454445721	NS
0.159448486926126	0.338807948101708	MYBL2	-1.00136132017294	-0.841912833246816	0.681454454445721	NS
0.141840346913344	0.346705845944888	RANDOM3_3_minP	-0.69273306406293	-0.550892717149586	0.681454454445721	NS
0.155873904351017	0.366874611034517	NFAT5	-0.440881333974692	-0.285007429623675	0.681454454445721	NS
-0.132744054529805	0.383116029844366	ATF6	0.600021191440046	0.467277136910241	0.681454454445721	NS
0.138277254582115	0.403204419178652	ATF2	-0.833883103719238	-0.695605849137124	0.681454454445721	NS
0.168723327066077	0.420283017716873	OTX1	-1.00774589421868	-0.839022567152604	0.686284927664261	NS
0.121828528223238	0.399637322263142	FOXO1	-0.736434537336467	-0.614606009113229	0.681454454445721	NS
0.123563232831875	0.442685305836547	ZFX	-0.492427076883917	-0.368863844052042	0.688883315509133	NS
0.112032329367551	0.514350936574561	PGR	-0.946210765870665	-0.834178436503113	0.729134844155147	NS
0.122012933343693	0.5492060506004	PPARA::RXRA	-0.926073060848029	-0.804060127504335	0.75608268045919	NS
0.102182988361137	0.663793422760552	GATA3	-1.24694734648961	-1.14476435812848	0.80252912246516	NS
0.103063904900949	0.57425827299515	STAT1	-2.0944016268978	-1.99133772199685	0.75608268045919	NS
