logFC	P.Value	tf	DMSO	FOXA1	p_adjusted	sig
1.81385908612572	0.0261983670090167	PPARA::RXRA	-2.74554886548606	-0.93168977936034	0.279449248096178	NS
1.22201333571527	0.0672171688316233	RANDOM1_1_minP	-2.86190058191381	-1.63988724619855	0.477988756135988	NS
-0.98764799924488	0.0533575176478955	GATA4	2.53612759435201	1.54847959510713	0.421065485740562	NS
1.00521636447969	0.11135697221474	NFIA	-3.72295141208774	-2.71773504760805	0.671825225493959	NS
1.30649166399482	0.147465125066574	RANDOM3_3_minP	-3.07162139071079	-1.76512972671597	0.725982154173901	NS
-0.796238446316788	0.182431710922224	SREBF1	-1.89128207340484	-2.68752051972162	0.778375299934821	NS
-1.89730299437772	0.115469960631774	OTX1	-3.57609193923539	-5.47339493361311	0.671825225493959	NS
1.46946324166398	0.176180258772149	RANDOM1_2_minP	-3.33528443646393	-1.86582119479995	0.777623211132242	NS
1.26684663698517	0.209267022172366	ONECUT1	-2.68569200622036	-1.41884536923519	0.789720059729306	NS
-1.35219113550842	0.24938100580351	RANDOM2_3_minP	-1.95396412202089	-3.30615525752931	0.789720059729306	NS
0.671567331591446	0.306841433940158	MYBL2	-2.19569159766527	-1.52412426607382	0.789720059729306	NS
-1.31206095051387	0.260320496679626	ETS2	-2.29085010619387	-3.60291105670774	0.789720059729306	NS
0.586997578970789	0.317709869994714	ATF6	-1.04382932309037	-0.456831744119578	0.789720059729306	NS
-0.782237679464532	0.340521511498699	CEBPA	-1.99123967212881	-2.77347735159334	0.789720059729306	NS
0.861779721941016	0.344938416186582	AR	-2.68271242172291	-1.82093269978189	0.789720059729306	NS
-0.493498152409824	0.365126127562572	GRHL1	-0.584147051379741	-1.07764520378956	0.797866376144013	NS
0.562245134760632	0.364429977822748	WT1	-1.99600609795631	-1.43376096319568	0.797866376144013	NS
-0.436733079575817	0.408252355371163	ATF4	1.79968704078416	1.36295396120834	0.82062655765857	NS
-0.475293777930682	0.692355440548689	RANDOM1_3_minP	-2.75036428670225	-3.22565806463293	0.92869572764428	NS
0.440088863370854	0.549040790070623	ZFP42	-1.47109102710653	-1.03100216373568	0.922631756910257	NS
-0.0862746844066003	0.943434254003455	RANDOM2_2_minP	-4.54546560478105	-4.63174028918765	0.9678307207156	NS
0.31309756112889	0.443975059555008	RANDOM3_1_minP	-1.40258387916508	-1.08948631803619	0.848191158552852	NS
0.577136501420924	0.549436427243056	ATF2	-3.52598909247943	-2.94885259105851	0.922631756910257	NS
0.397466621739344	0.662601616822421	RARA	-1.47675290942855	-1.0792862876892	0.92869572764428	NS
-0.256921632204922	0.814379207529922	THRB	-3.10669426995615	-3.36361590216107	0.92869572764428	NS
-0.305627737871819	0.700660407429971	RUNX2	-1.93717555191767	-2.24280328978949	0.92869572764428	NS
0.116502903352374	0.927739796855662	STAT1	-3.24698263879704	-3.13047973544467	0.9678307207156	NS
-0.371135597020033	0.722797851894684	RANDOM2_1_minP	-3.69820680090559	-4.06934239792562	0.92869572764428	NS
0.183509585831477	0.800023594786195	NR3C2	-1.02046710572162	-0.836957519890142	0.92869572764428	NS
0.290603114332981	0.606118383592024	POU2F1	-1.0602299107513	-0.769626796418323	0.923104213148729	NS
0.126108151666294	0.767516208135872	ELK1_A	3.27120189241993	3.39731004408623	0.92869572764428	NS
0.0353056559093325	0.951247514810626	HIF1A	-2.55860455552793	-2.52329889961859	0.9678307207156	NS
0.328294657978282	0.681211990418864	AHR::ARNT	-2.14694794800145	-1.81865329002317	0.92869572764428	NS
0.273892614231679	0.767840288894422	PGR	-2.74146777996822	-2.46757516573654	0.92869572764428	NS
-0.149673021643895	0.780425056996679	RXRA	-0.041937471230097	-0.191610492873992	0.92869572764428	NS
0.228685482338233	0.708574004478156	RANDOM3_2_minP	-2.09759896824416	-1.86891348590592	0.92869572764428	NS
-0.341206062777636	0.735356605402539	NR1I3	-1.86131359916759	-2.20251966194523	0.92869572764428	NS
3.99358818535591	4.96677118000432e-05	FOXA1	-3.30876635667301	0.684821828682904	0.00635746711040553	Upregulated
3.37470294897257	0.00163997591380729	GATA3	-4.836052868066	-1.46134991909344	0.086936499032718	NS
-1.03702556049333	0.00231762323208839	E2F1	0.600359452928417	-0.436666107564908	0.086936499032718	NS
1.88372874488963	0.00271676559477244	RORA	-4.04041807906029	-2.15668933417066	0.086936499032718	NS
-1.23843937134416	0.00400515600907467	TCF7	1.31764933188769	0.0792099605435295	0.102531993832312	NS
-1.41604149221581	0.0136363429517844	CLOCK	0.450857081449765	-0.965184410766049	0.213085877604381	NS
2.60637120261298	0.0142050720566468	RBPJ	-5.00883598403137	-2.4024647814184	0.213085877604381	NS
-0.992245476996492	0.014982600769058	SOX2	1.05440456466774	0.0621590876712445	0.213085877604381	NS
1.06834870742115	0.0184404848878401	NR5A2	-2.21675509835215	-1.148406390931	0.236038206564354	NS
0.825015290575286	0.0249837640383418	FOSL1	-1.42244424883747	-0.597428958262182	0.279449248096178	NS
1.11618379357896	0.0312779437398206	RANDOM1_3_mCMV	-3.21175981131816	-2.0955760177392	0.307967446053618	NS
0.805796415698402	0.0539063976737856	ZFX	-0.910901558636513	-0.105105142938112	0.421065485740562	NS
-0.952473114049014	0.0559227598249184	MYC	-0.964555533260943	-1.91702864730996	0.421065485740562	NS
-1.25327566034652	0.0517367080439435	POU5F1	-1.20496719581115	-2.45824285615766	0.421065485740562	NS
1.58731430492546	0.136496743229694	THRA	-4.92205060565641	-3.33473630073095	0.705293673547243	NS
1.81203477807367	0.122019307201574	HNF4A	-5.16207389688126	-3.35003911880759	0.679063970513105	NS
0.474413037115839	0.105786379584051	FOS::JUN	1.54097173528824	2.01538477240408	0.671825225493959	NS
-1.44786512319763	0.169644594504838	TFCP2L1	0.741523780819387	-0.706341342378239	0.777623211132242	NS
