logFC	P.Value	tf	DMSO	POU5F1	p_adjusted	sig
-1.75062615721425	4.48411828341167e-07	GRHL1	-0.0800485816221466	-1.8306747388364	1.43491785069173e-05	Downregulated
-1.43384356275861	3.78780482198805e-05	RXRA	-0.238701152043357	-1.67254471480197	0.000549242328888557	Downregulated
0.560972560659074	0.00018078862674104	ELK1_A	3.34984390598103	3.9108164666401	0.00231409442228531	Upregulated
-0.741017110072785	0.000433567341783662	GATA4	2.61150968657356	1.87049257650077	0.00462471831235906	Downregulated
-1.39573274301126	0.00631580980836992	RANDOM2_2_minP	-4.63165613266113	-6.02738887567239	0.0367465297941523	NS
0.870714888477544	0.0147529961890789	ATF6	-1.96948160614872	-1.09876671767118	0.0755353404880841	NS
-1.10609983117334	0.0310031899877467	RANDOM1_3_minP	-2.41607857887092	-3.52217841004426	0.132280277281053	NS
-0.815421094787795	0.0295896142482131	POU2F1	-1.39369538951531	-2.20911648430311	0.130602435302458	NS
-1.14282927622094	0.0568317288864967	RANDOM2_3_minP	-2.10284626460109	-3.24567554082203	0.20206836937421	NS
-1.38028328888829	0.071487200139365	RANDOM3_3_minP	-2.15943126371466	-3.53971455260295	0.247307070752398	NS
-0.99537936398491	0.0840998522668723	RANDOM2_1_minP	-2.97555503424256	-3.97093439822747	0.256304311670468	NS
-0.828312213882648	0.0803833907670765	AR	-3.11154459970383	-3.93985681358648	0.252296003771503	NS
-0.449969740021172	0.0782952851232636	ATF4	0.555311936395341	0.105342196374169	0.252296003771503	NS
-0.938568509970959	0.0808135637080596	PGR	-2.4707987387005	-3.40936724867146	0.252296003771503	NS
-0.549229985987253	0.101772916644446	ZFP42	-1.06999473948029	-1.61922472546754	0.296066666602025	NS
-0.637630826538579	0.108536249646507	NR3C2	-1.6707186139856	-2.30834944052418	0.302013912059847	NS
-0.4787657564981	0.106048442661425	RANDOM3_1_minP	-0.927940893795633	-1.40670665029373	0.301648903570276	NS
-0.735732019987453	0.116652579697982	NFIA	-3.60280907265563	-4.33854109264309	0.317692131943441	NS
-0.532321731361413	0.142117532369208	PPARA::RXRA	-2.04433092694598	-2.57665265830739	0.365989549531941	NS
-0.587027707830057	0.138530398245083	MYBL2	-1.82772666253576	-2.41475437036582	0.365989549531941	NS
-0.502865614264656	0.152577849314902	HIF1A	-2.25136275600145	-2.75422837026611	0.37557624446745	NS
-0.597149345585554	0.177161625358595	SREBF1	-2.95295158094099	-3.55010092652655	0.404940857962502	NS
-0.544275637936859	0.276405046524549	RANDOM1_1_minP	-2.56990213282811	-3.11417777076497	0.520291852281503	NS
-0.400428009790356	0.27448108321465	RANDOM3_2_minP	-1.47334113991153	-1.87376914970189	0.520291852281503	NS
-0.607685783018856	0.437173673225299	OTX1	-3.56478452255881	-4.17247030557766	0.639150088336311	NS
-0.326055148620301	0.454395765926596	RUNX2	-2.24237201161055	-2.56842716023085	0.639150088336311	NS
0.347049600869657	0.480864145909279	ONECUT1	-2.62128432741026	-2.27423472654061	0.65479373059987	NS
-0.490708114323791	0.412344821557517	ATF2	-3.62593366738424	-4.11664178170803	0.620399033732159	NS
-0.556510115281008	0.508425742926213	NR1I3	-1.79203158156001	-2.34854169684102	0.670912320562426	NS
-0.356392334756274	0.602355132014906	RANDOM1_2_minP	-2.67492207454684	-3.03131440930311	0.741360162479885	NS
-0.22756029238387	0.474185834543153	AHR::ARNT	-2.33046986409475	-2.55803015647862	0.652642869048641	NS
0.222677206875625	0.720909610363387	ETS2	-2.60441295237674	-2.38173574550112	0.846572753454252	NS
0.39078735304085	0.492239940597363	THRB	-4.59469633450899	-4.20390898146814	0.663228551541711	NS
