logFC	P.Value	tf	DMSO	FOXA1	p_adjusted	sig
0.942223272088811	0.0344111762294316	ATF6	-1.45872908754417	-0.516505815455358	0.293642037157817	NS
-0.983220555418607	0.0316352544963324	GATA4	2.59081692121201	1.6075963657934	0.289236612537896	NS
-0.774245794550726	0.10320503391383	RXRA	0.631662175215463	-0.142583619335263	0.508086320806547	NS
-0.961253744299485	0.0919874287130627	GRHL1	0.172086043691346	-0.789167700608139	0.508086320806547	NS
-0.526924476430497	0.161948784917466	RANDOM3_1_minP	-0.509338595637332	-1.03626307206783	0.54814998546661	NS
0.995719651657713	0.1627320269354	PPARA::RXRA	-1.89135790878837	-0.895638257130653	0.54814998546661	NS
-1.39217783537098	0.184431303208179	RANDOM2_1_minP	-2.65861634774928	-4.05079418312026	0.60069073444135	NS
-1.53733235833296	0.153050033613096	RANDOM2_3_minP	-1.68566170229836	-3.22299406063131	0.54814998546661	NS
-0.703211217738812	0.197101647238568	HIF1A	-1.84635085568484	-2.54956207342365	0.60069073444135	NS
-1.99096059058319	0.0936795804491627	ETS2	-2.53196153928132	-4.52292212986451	0.508086320806547	NS
0.951285613023246	0.259266132522657	ONECUT1	-2.4576684414407	-1.50638282841746	0.663721299258002	NS
0.377492502272422	0.269544562918702	ELK1_A	3.01150257550622	3.38899507777865	0.67650400105086	NS
-0.588577339156446	0.300486488673763	RANDOM3_2_minP	-1.16377779430022	-1.75235513345667	0.723241958220069	NS
-1.9418961911559	0.232567917014097	OTX1	-2.9724140240474	-4.9143102152033	0.661032899317074	NS
1.15286336004216	0.305117701124092	RANDOM2_2_minP	-5.43923073342152	-4.28636737337936	0.723241958220069	NS
0.823568339152931	0.343504803687657	AR	-2.62870627582302	-1.80513793667008	0.799429361309455	NS
0.558988017272386	0.357349199261867	RANDOM1_1_minP	-2.17385385597414	-1.61486583870176	0.802468377289806	NS
-0.750532154944239	0.435806436128836	NR1I3	-1.29504222194508	-2.04557437688932	0.819868770664584	NS
-0.607692011970724	0.63465455239705	RANDOM1_3_minP	-2.58524566820906	-3.19293768017978	0.874503304760117	NS
1.03181285624958	0.405779535199423	RANDOM3_3_minP	-2.78170201267603	-1.74988915642645	0.814607690675558	NS
0.456563339426064	0.426129253094023	NFIA	-3.15147004529315	-2.69490670586708	0.819868770664584	NS
0.576607629777171	0.441960509186377	RARA	-1.84400019080701	-1.26739256102984	0.819868770664584	NS
1.11001191695022	0.466711556965469	STAT1	-3.72053271070892	-2.6105207937587	0.83792916703855	NS
0.725908370381341	0.510613086164116	ATF2	-3.73667264260854	-3.0107642722272	0.83792916703855	NS
-0.90956369230387	0.416146686165286	THRB	-3.40483602455611	-4.31439971685998	0.819488858910101	NS
