logFC	P.Value	tf	DMSO	SOX2	p_adjusted	sig
-1.60023032352567	1.04105900515069e-09	POU5F1::SOX2	2.47359039281942	0.873360069293744	1.90365075227555e-08	Downregulated
1.28125915421513	6.76953652631787e-09	ATF4	1.99135985014342	3.27261900435854	9.6277852818743e-08	Upregulated
-1.14116060025999	1.09352729062918e-07	ZFX	-0.0341982408831304	-1.17535884114312	1.09501262925726e-06	Downregulated
1.23597555756838	3.07220264337376e-06	ATF6	0.638662300430196	1.87463785799857	2.18467743528801e-05	Upregulated
1.89189737088598	0.000120614326003797	ETS2	-0.400885728933095	1.49101164195289	0.000593793604941771	Upregulated
-1.12621203350178	0.00222545997400887	RANDOM3_2_minP	-0.255275272444398	-1.38148730594618	0.00837820225509221	Downregulated
-0.936654333227717	0.0143312523982152	RANDOM3_3_minP	-0.256983575322078	-1.1936379085498	0.044741470901745	NS
-0.598420903702039	0.0293860009061837	NFAT5	-0.587047394845637	-1.18546829854768	0.0800779133523964	NS
1.26155198200388	0.0404223296233437	CEBPA	-2.27553510159752	-1.01398311959364	0.102761924022039	NS
-0.755419452242124	0.100067630666042	RANDOM2_1_minP	-0.123177244388082	-0.878596696630207	0.213477612087556	NS
-0.471570057277146	0.0943248909445954	RXRA	-0.246604426117063	-0.718174483394209	0.204637051540817	NS
0.490707057297414	0.177134770521978	PPARA::RXRA	-1.16541345682967	-0.67470639953226	0.321639801061148	NS
-0.754690920877808	0.182232167508226	ATF2	-0.366692310376362	-1.12138323125417	0.323968297792402	NS
0.390710621513302	0.211064600623339	PGR	-1.12210869603267	-0.731398074519365	0.35639058712591	NS
-0.204629777944335	0.211902193385151	GRHL1	0.504665827203864	0.300036049259529	0.35639058712591	NS
-0.437110977558121	0.348859985280738	FOXO1	-1.41765915574066	-1.85477013329878	0.525342095481583	NS
0.486469101464879	0.291302322526655	NFIA	-2.32821286208963	-1.84174376062475	0.454715820529412	NS
0.569554980932109	0.42064353643976	RARA	-1.55168978724442	-0.982134806312316	0.585243181133579	NS
-0.384522264551638	0.278257878508149	RANDOM3_1_minP	-0.391132848591898	-0.775655113143536	0.445212605613038	NS
-0.356552985525449	0.406288527747857	RANDOM1_1_minP	-0.97953379782747	-1.33608678335292	0.571482764304678	NS
0.64640457062996	0.37778866150338	THRB	-1.22164706319217	-0.575242492562207	0.549510780368552	NS
-0.33393913211376	0.559461721435476	RANDOM2_3_minP	-0.385953853336498	-0.719892985450258	0.676856959568105	NS
-0.221340478490792	0.496750113697956	POU2F1	0.161657281209422	-0.0596831972813697	0.642262773266044	NS
