logFC	P.Value	tf	DMSO	Heat	p_adjusted	sig
1.57844592117094	1.69871333288832e-12	RARA	-2.5196165513786	-0.941170630207659	1.09567009971296e-10	Upregulated
0.979910093006641	5.07839155401212e-08	RANDOM2_1_minP	-1.47907929510484	-0.499169202098199	1.0918541841126e-06	Upregulated
0.738948995733281	5.50676352133519e-06	PPARA::RXRA	-0.929549307585632	-0.190600311852351	4.17866173089552e-05	Upregulated
-0.689136374762168	1.32708209171537e-05	POU5F1::SOX2	2.7268076706693	2.03767129590713	8.02064187682987e-05	Downregulated
0.749759893664163	1.49221244220091e-05	AR	-1.44671073473963	-0.696950841075465	8.02064187682987e-05	Upregulated
0.679641892765358	1.56221975913083e-05	ONECUT1	-1.40709865372559	-0.727456760960227	8.0610539571151e-05	Upregulated
0.593190709790193	2.81625752809595e-05	NFIA	-1.34330938787136	-0.750118678081168	0.000134554526342362	Upregulated
0.60646074897356	0.000123043869441126	ZFP42	-1.0865632102284	-0.480102461254841	0.000480989671451673	Upregulated
0.636770606483985	0.00020144907842706	RANDOM3_1_minP	-0.64021488759299	-0.00344428110900463	0.000742483746202592	Upregulated
0.681215293014184	0.000230563217467968	STAT1	-2.11556426055462	-1.43434896754044	0.000826184862593551	Upregulated
0.59028405815501	0.000259281099328021	RANDOM1_2_minP	-1.274341055355	-0.684056997199987	0.000889625690552317	Upregulated
0.648786567460784	0.00053829668946762	RUNX2	-1.20376848592426	-0.554981918463476	0.0015781880213937	Upregulated
0.582793452561345	0.000469824468217324	RANDOM3_2_minP	-0.701455985861036	-0.118662533299691	0.00144022120745189	Upregulated
-0.554986946246092	0.000766929155443027	ATF6	0.602648474562789	0.0476615283166973	0.00206112210525314	Downregulated
0.496955399786565	0.000727496369317748	FOXO1	-0.746602259789289	-0.249646860002724	0.00199674535408488	Upregulated
0.686535915972704	0.000854765939299756	RANDOM1_1_minP	-1.29732115730446	-0.610785241331754	0.00225030216672793	Upregulated
-0.540229727769756	0.00154150075533406	POU2F1	0.421494069916195	-0.118735657853561	0.00375195466864327	Downregulated
-0.499650176068452	0.00179000609601795	GRHL1	0.833583026482765	0.333932850414313	0.00427612567382066	Downregulated
0.522253861118355	0.00283327371377909	THRB	-0.659047505466304	-0.136793644347949	0.00630159153581901	Upregulated
0.426375979899156	0.00242797366004293	RANDOM3_3_minP	-0.69668825744286	-0.270312277543704	0.00559301075259889	Upregulated
0.449208684464751	0.00408366339920077	RANDOM2_3_minP	-1.20178597487712	-0.752577290412367	0.00877987630828166	Upregulated
0.453851771530307	0.00680034927319749	RANDOM1_3_minP	-1.31618591983922	-0.86233414830891	0.0137069540037887	NS
0.447609841038404	0.00879148147701574	NFAT5	-0.469127427594477	-0.0215175865560726	0.0169268822467915	NS
0.42142479366343	0.0100694879992758	RANDOM2_2_minP	-1.28915953663326	-0.867734742969833	0.0185566278843797	NS
0.315522146080667	0.0160634210060622	MYBL2	-1.00124350462212	-0.68572135854145	0.0272655435497635	NS
0.336720773496451	0.0296605300417178	CEBPA	-1.24376612183756	-0.907045348341105	0.0472371404368099	NS
0.331173566799603	0.0333784703312778	PGR	-0.947244906291701	-0.616071339492098	0.0518773815992148	NS
0.362288831324095	0.042672703259606	OTX1	-1.00125312430564	-0.638964292981544	0.064009054889409	NS
0.268183879095401	0.0605291916869244	ZFX	-0.505379095744401	-0.237195216649	0.0897501807771638	NS
0.278489964793591	0.128961142847089	GATA3	-1.27355010070593	-0.995060135912337	0.169754973747699	NS
0.278040371512567	0.139925865710191	ATF2	-0.833988306029054	-0.555947934516487	0.180504366766146	NS
-0.209300775278994	0.148814012232548	ATF4	2.31136413837473	2.10206336309574	0.190069381960383	NS
0.241045047477209	0.229791432947675	ETS2	1.20091989736114	1.44196494483835	0.277038269628505	NS
0.0975712675586889	0.432483919039575	RXRA	0.896517640682862	0.994088908241551	0.500427886448359	NS
5.98245028181948	7.03901833275416e-25	HSF1	-2.30793118448269	3.67451909733679	9.08033364925286e-23	Upregulated
-1.68191100664369	3.10017077173482e-09	GATA4	2.2629540537383	0.581043047094613	9.9980507388448e-08	Downregulated
-1.11034592561073	1.9986580975406e-07	MAF::NFE2	1.9027983687357	0.792452443124968	3.22283618228422e-06	Downregulated
-0.879833292965642	1.9156434929171e-07	NRF1	2.25588538662981	1.37605209366417	3.22283618228422e-06	Downregulated
-1.11429119532472	2.28989660792468e-07	CLOCK	1.21385636454505	0.0995651692203283	3.28218513802538e-06	Downregulated
0.91845683835151	6.81200762368094e-07	STAT4	-0.0394983355478792	0.878958502803631	7.98862712231674e-06	Upregulated
-0.656743953254949	1.10401761844311e-06	MEF2A	0.609767824568975	-0.0469761286859736	1.18681893982634e-05	Downregulated
0.958361120572523	1.31582234260665e-06	NR5A2	-1.38526861479738	-0.426907494224853	1.30568050594598e-05	Upregulated
0.682270619064637	1.51823314644881e-06	THRA	-1.74176033935094	-1.0594897202863	1.30568050594598e-05	Upregulated
-0.739946980757827	2.62811811661828e-06	E2F1	1.02807313970819	0.288126158950359	2.11892023152349e-05	Downregulated
-1.40651813637158	6.60117627429514e-06	TP53	2.13725469753194	0.730736561160364	4.73084299657819e-05	Downregulated
0.77568645671919	1.14625507850336e-05	ESR1	-1.8031395966486	-1.02745313992941	7.39334525634666e-05	Upregulated
-0.59814215533593	1.45701462358516e-05	NFYA	0.532496407317443	-0.0656457480184869	8.02064187682987e-05	Downregulated
0.856817180743226	1.70142730155612e-05	RORA	-2.11388200551569	-1.25706482477246	8.44169699618228e-05	Upregulated
0.455734241684072	3.39924762368204e-05	NR4A1	-1.36601657150278	-0.910282329818712	0.000156608194091065	Upregulated
-0.705855298153873	0.000100933496624624	NR4A2::RXRA	0.792034651148272	0.0861793529943989	0.000434014035485885	Downregulated
-0.811022849231937	0.000113706749837576	TFCP2L1	1.60192584246481	0.790902993232876	0.000473166797711205	Downregulated
0.602600507357341	0.000157511120440521	GLI1	-2.25343232671665	-1.65083181935931	0.000597615721671389	Upregulated
-0.541007526270382	0.000262060280937892	SOX2	0.704295181291429	0.163287655021047	0.000889625690552317	Downregulated
0.507120709821562	0.000419708568611719	RANDOM1_1_mCMV	-2.43577233537715	-1.92865162555559	0.00135356013377279	Upregulated
-0.574373719811601	0.000480073735817295	TEAD1	1.17941078418884	0.605037064377235	0.00144022120745189	Downregulated
-0.748540997732476	0.000452576280943375	NR1H2	1.25591250864819	0.507371510915713	0.00142395951809013	Downregulated
0.510319847415962	0.000580477308909775	MTF1	2.36831417907868	2.87863402649464	0.00162786027933393	Upregulated
-0.398438635667955	0.00113705017776068	FOS::JUN	0.590734810983285	0.19229617531533	0.00293358945862256	Downregulated
-0.626378961351586	0.00147377522774545	CEBPB	0.132161989204437	-0.494216972147149	0.00365609623806083	Downregulated
0.548210257342184	0.00195787582226047	PPARG::RXRA	-2.11089500028665	-1.56268474294446	0.00459210874675637	Upregulated
-0.40678105125794	0.00280921954392705	FOSL1	-0.999165398202819	-1.40594644946076	0.00630159153581901	Downregulated
0.363258080175221	0.00372265000945983	NR1H4::RXRA	-0.650444672090255	-0.287186591915034	0.00813935341051388	Upregulated
-0.465234247074112	0.00671998414507768	POU5F1	-0.380083826070996	-0.845318073145108	0.0137069540037887	NS
-0.38742421704607	0.0071415424934776	XBP1	-0.848763170558034	-1.2361873876041	0.0141732151024402	NS
-0.38825217409969	0.0144329082581783	HNF4A	-0.66762914292587	-1.05588131702556	0.0255047282918493	NS
-0.327278038679977	0.0109163752201052	MYC	-0.206962453570136	-0.534240492250112	0.0198339775125855	NS
0.405630864195795	0.0153427673499982	NR1D1	-2.66545437531395	-2.25982351111816	0.0267461755155373	NS
0.337922414836908	0.0133705269865879	RANDOM2_2_mCMV	-2.3030761678007	-1.96515375296379	0.0239555275176366	NS
-0.573380626013151	0.0194219074094508	HNF1A	-0.331355737833854	-0.904736363847005	0.0317142538711285	NS
-0.294750659874401	0.0215023592855082	KLF4	0.133359511793698	-0.161391148080704	0.0346725543478819	NS
-0.43549516650322	0.0303376795677078	REL	1.31928874470412	0.8837935782009	0.0477263495638331	NS
0.381960192305028	0.0735415810975363	IRF1	-2.01557645027121	-1.63361625796618	0.106593977096429	NS
-0.420530158533612	0.0827133497798559	TCF7	1.35387248126773	0.933342322734115	0.117252990347268	NS
0.302218355385373	0.0692096023531823	SREBF1	-2.25953086379471	-1.95731250840934	0.101454985267733	NS
0.267656491316656	0.0825041742364982	EGR1	-1.77081417047445	-1.5031576791578	0.117252990347268	NS
0.304749127484841	0.0921547152651856	RANDOM2_1_mCMV	-2.43825309610905	-2.13350396862421	0.128692466197378	NS
0.207933453889898	0.0927782895841563	TFEB	1.52173093246505	1.72966438635495	0.128692466197378	NS
0.269883905087476	0.096642683898606	RANDOM3_1_mCMV	-1.84769528368408	-1.57781137859661	0.131375683671124	NS
-0.20987849676377	0.0985558314350687	HIF1A	-0.964019240944812	-1.17389773770858	0.132434398490874	NS
0.204419656968453	0.096749534486487	GATA1	-2.47218714484229	-2.26776748787383	0.131375683671124	NS
0.353583267257033	0.117054601459082	NFATC1	-2.12162577327341	-1.76804250601638	0.155670552455893	NS
0.228429902088737	0.135992835271154	SOX9	-2.2970294986682	-2.06859959657946	0.177202785353322	NS
0.24263857392248	0.159467758449683	RBPJ	-2.23687855024341	-1.99423997632093	0.199721755728244	NS
0.179418761508797	0.189843045265249	STAT1::STAT2	-2.10183319100775	-1.92241442949895	0.23547839268478	NS
0.106912185210077	0.434480025443536	RANDOM3_2_mCMV	-1.64845668956154	-1.54154450435147	0.500427886448359	NS
0.143930914782434	0.363774733102148	TFAP2A	-2.04748454471499	-1.90355362993256	0.426608550637974	NS
-0.117837660877923	0.440239642281907	SMAD2::SMAD3::SMAD4	-1.244912944104	-1.36275060498192	0.502574458888195	NS
0.0927266394108567	0.466635850955724	RANDOM1_2_mCMV	-1.92101297853787	-1.82828633912701	0.528035305028846	NS
-0.108523637172716	0.511897398295954	AHR::ARNT	-1.33171685380771	-1.44024049098043	0.569265210173949	NS
0.0612259153327254	0.699445185421206	NR1I2	-1.58392080981503	-1.5226948944823	0.739577286224062	NS
0.0877641352874516	0.558771715439	RANDOM3_3_mCMV	-1.90682194950079	-1.81905781421334	0.610860604166365	NS
0.0860561588383797	0.495297606836086	NR3C1	-2.78126008718468	-2.6952039283463	0.55559470679874	NS
0.0787374675754644	0.655398963493404	RANDOM2_3_mCMV	-2.31644198340495	-2.23770451582949	0.698731126369001	NS
-0.0900021103021321	0.621055651439976	IRX3	-0.513532110358682	-0.603534220660815	0.67324520198115	NS
-0.0872215829599832	0.551105729041468	SRF	-0.984094690207298	-1.07131627316728	0.607629393558542	NS
-0.0402818528678642	0.797374427897382	VDR::RXRA	-1.85904917923626	-1.89933103210412	0.822890409590098	NS
0.0416679680615287	0.7247830216918	RANDOM1_3_mCMV	-2.12365604482323	-2.0819880767617	0.76013829104262	NS
-0.00926001728922845	0.937212639091451	RARA:RXRA	-0.263275825857876	-0.272535843147105	0.944534612834353	NS
0.0232948580222594	0.880667064833983	WT1	-1.31875625590778	-1.29546139788552	0.894535837508534	NS
0.0279445846125052	0.827312413751997	NR1I3	-1.92980465886259	-1.90186007425009	0.84701032836514	NS
1.00788150694563	1.43076964250051e-06	RANDOM1_1_Random	-1.74231871329838	-0.734437206352748	1.30568050594598e-05	Upregulated
0.763360482212049	8.20732339113074e-06	RANDOM2_1_Random	-1.42259304645427	-0.659232564242224	5.57234061818877e-05	Upregulated
-0.471820531484899	0.00012189967804899	SP1	1.39812960009509	0.926309068610186	0.000480989671451673	Downregulated
0.485823747128122	0.00447158715347972	RANDOM3_1_Random	-0.498050742152417	-0.0122269950242954	0.0094563072589981	Upregulated
0.722545540963071	0.0078657767113355	FOXA1	-1.97237859060899	-1.24983304964591	0.0153740181176103	NS
0.273469019979411	0.201764169955867	NR3C2	-0.722569946632564	-0.449100926653153	0.247881694517208	NS
0.262019893077084	0.361952084371784	RFX1	-0.577628421079576	-0.315608528002492	0.426608550637974	NS
-1.87118381141948	8.133714175343e-10	NFE2L2	2.3087176540754	0.437533842655915	3.49749709539749e-08	Downregulated
1.02854003999111	6.85828340350448e-09	STAT3	1.85595303219777	2.88449307218888	1.76943711810415e-07	Upregulated
0.838651611132644	2.92644259191067e-07	ESRRB	-1.50772101076335	-0.669069399630702	3.77511094356477e-06	Upregulated
0.787265690124847	1.47628779187339e-05	NEUROG2	-3.09996074614127	-2.31269505601642	8.02064187682987e-05	Upregulated
0.781954127852745	4.91981008219591e-05	RANDOM2_1_hBGm	-2.88736374433134	-2.1054096164786	0.000218846724345956	Upregulated
0.605408906691413	0.000369768404974871	RANDOM1_3_hBGm	-2.85019483739121	-2.2447859306998	0.00122308010876303	Upregulated
-0.794547592367807	0.00057788248414067	IRF3	0.926141311366976	0.131593718999169	0.00162786027933393	Downregulated
0.715817527828312	0.00144000585730557	RANDOM1_1_hBGm	-2.74897029724503	-2.03315276941671	0.00364236775671408	Upregulated
0.525392693720713	0.00475931184367081	RANDOM2_2_hBGm	-2.48490435048519	-1.95951165676448	0.00990243915860539	Upregulated
0.429272881377193	0.00909685164894924	RANDOM3_2_hBGm	-2.11815002453121	-1.68887714315401	0.0172572626869772	NS
0.498810258050285	0.0094820598751561	RANDOM1_2_hBGm	-2.45589687712152	-1.95708661907124	0.0177273293318136	NS
-0.328577447862073	0.0157771885756313	ELK1	2.02656609324757	1.6979886453855	0.0271367643500858	NS
0.531710188610601	0.0184928749095851	HOMEZ	-2.9324033414889	-2.4006931528783	0.0307532957304708	NS
0.433818392452732	0.0185950160230753	RANDOM2_3_hBGm	-2.71184268507328	-2.27802429262055	0.0307532957304708	NS
0.359333544899252	0.036048032068039	PAX6	-2.26116825072347	-1.90183470582422	0.0553594778187742	NS
0.372290365447334	0.0394367373541664	RANDOM3_3_hBGm	-1.87702968552434	-1.50473932007701	0.0598510484551467	NS
0.245640303169547	0.151735894567371	GBX2	-2.17275925278841	-1.92711894961886	0.19190127842344	NS
0.24554587984416	0.224701954607489	RANDOM3_1_hBGm	-1.75937039236398	-1.51382451251982	0.273458039097793	NS
0.1748306317085	0.318299318155158	CREB1	-1.27633428806669	-1.10150365635819	0.380190852240883	NS
-0.12159149362882	0.649191316523946	TCF7L2	0.915679892751572	0.794088399122751	0.697880665263242	NS
0.074335012506492	0.773816573457059	NFKB1	-0.735689081773396	-0.661354069266904	0.805018854644843	NS
-0.00983291686150439	0.962162818123678	SMAD4	-1.51587676768311	-1.52570968454462	0.962162818123678	NS
