logFC	P.Value	tf	DMSO	TFCP2L1	p_adjusted	sig
-1.37814199852754	1.17314656870292e-09	GRHL1	0.852794582512365	-0.525347416015171	1.51335907362676e-07	Downregulated
0.411513645523444	0.0397197986216817	RANDOM2_1_minP	-1.48021088381224	-1.06869723828879	0.232902455554406	NS
0.335563162953824	0.0535675004160471	ZFP42	-1.08964677104861	-0.754083608094787	0.263584646905987	NS
0.3540768933758	0.0719761307125748	RANDOM3_1_minP	-0.63762583162409	-0.28354893824829	0.281361238240065	NS
0.252847712950353	0.0947618309088146	MYBL2	-1.00155200448262	-0.748704291532267	0.321691478611502	NS
0.275924355036773	0.113112797383159	AR	-1.45110453527124	-1.17518018023447	0.357129154853888	NS
0.276081893601409	0.15074703206408	RANDOM1_1_minP	-1.29420108655432	-1.01811919295291	0.407557745794002	NS
-0.238292648893627	0.151264263875554	THRB	-0.657589442183668	-0.895882091077295	0.407557745794002	NS
0.208362286593154	0.168081548594696	ATF6	0.601345909765742	0.809708196358896	0.418148666035748	NS
0.273103330920532	0.171234722278902	RANDOM3_2_minP	-0.701295762265053	-0.428192431344521	0.418148666035748	NS
0.238887299153722	0.223282123618467	RANDOM1_2_minP	-1.26600513511948	-1.02711783596576	0.465802336337138	NS
0.208479726572654	0.255439869652182	RANDOM1_3_minP	-1.32146642684936	-1.11298670027671	0.491817062464649	NS
0.202625510318646	0.213178147121363	RANDOM3_3_minP	-0.694455144735414	-0.491829634416768	0.45833301631093	NS
0.214853796961821	0.238643434650538	ONECUT1	-1.40709597419651	-1.19224217723469	0.473615431844913	NS
0.20101530914358	0.303115497495089	NFAT5	-0.448364687856013	-0.247349378712432	0.543081933012034	NS
0.151260599408495	0.352300415837915	ZFX	-0.499410017850993	-0.348149418442498	0.592241145386977	NS
0.167110741546553	0.373919460578694	RANDOM2_2_minP	-1.28653722960244	-1.11942648805588	0.602945130183144	NS
-0.136305131948792	0.481163312818561	PPARA::RXRA	-0.924134580410018	-1.06043971235881	0.705341674472664	NS
0.0964769452623428	0.597073060794401	PGR	-0.946102495618811	-0.849625550356469	0.770224248424778	NS
-0.106049747325779	0.555452345454569	POU5F1::SOX2	2.72554981893917	2.61950007161339	0.758442033547021	NS
-0.137565555053702	0.595132007456359	RARA	-2.51482229939393	-2.65238785444763	0.770224248424778	NS
