logFC	P.Value	tf	DMSO	HQ	p_adjusted	sig
1.01046931248226	1.28176889814579e-06	ATF4	1.84072457968698	2.85119389216924	0.000165348187860807	Upregulated
-0.671434796866147	0.00211314513592927	PPARA::RXRA	-0.29768413814064	-0.969118935006787	0.0129807486921369	NS
-0.531061646407942	0.00247896887674025	FOXO1	0.0371474986623628	-0.493914147745579	0.0138703753048213	NS
-0.587447811147286	0.00351329355910681	RANDOM2_1_minP	-0.153959479359223	-0.741407290506509	0.0156280989353372	NS
-0.543566397233488	0.00476686448773161	RARA	-0.664243232797513	-1.207809630031	0.0204975172972459	NS
-0.41727390414534	0.0219287037193574	ONECUT1	-0.246228295918737	-0.663502200064077	0.0642909722681159	NS
-0.433936724458879	0.0354024883704714	RXRA	-0.587845497753383	-1.02178222221226	0.0815521607105502	NS
-0.395438333337113	0.0372933835814883	ZFP42	-0.112493824128887	-0.507932157466	0.0844008154738947	NS
-0.398132358157678	0.0802818758611878	STAT1	-0.576512563421841	-0.974644921579519	0.150092202697003	NS
-0.298037703072555	0.0929258799541707	NFIA	-0.125430709683499	-0.423468412756053	0.164211486494357	NS
-0.295206680647622	0.104673112617525	RUNX2	-0.124089464702097	-0.419296145349719	0.175361448411178	NS
-0.308941051270326	0.0981584259206913	MYBL2	-0.292690613607734	-0.60163166487806	0.170639340008598	NS
-0.288858337048952	0.121637056939884	RANDOM2_2_minP	-0.57146450313356	-0.860322840182512	0.19862253601576	NS
-0.294886510667384	0.141245640458405	AR	-0.809759930121827	-1.10464644078921	0.219526356857039	NS
-0.23820858916908	0.133984678193134	ZFX	-0.481361587047416	-0.719570176216497	0.213383006011287	NS
-0.249746467886497	0.159143792638278	RANDOM2_3_minP	-0.881598018488865	-1.13134448637536	0.242903250415121	NS
0.238447581403163	0.161008114023566	CEBPA	0.0487258123377635	0.287173393740927	0.242903250415121	NS
-0.242207746540936	0.209116763036464	OTX1	-0.530091252111807	-0.772298998652742	0.296440246502241	NS
-0.239548260201829	0.246997094019558	RANDOM1_1_minP	-0.485759815761254	-0.725308075963083	0.342349016245132	NS
-0.214519835292773	0.352464321372098	RANDOM1_2_minP	-0.159864376012003	-0.374384211304775	0.450177202544561	NS
-0.215399202531004	0.442005873387123	GATA3	-0.349632732643439	-0.565031935174443	0.513682501503954	NS
0.193463775978576	0.350902337405196	RANDOM3_3_minP	-0.608011935021351	-0.414548159042776	0.450177202544561	NS
-0.153009429907444	0.420807231866885	NFAT5	-0.596513980276853	-0.749523410184297	0.502630860285445	NS
0.173192352897065	0.420403429076116	ATF2	1.24602292716428	1.41921528006135	0.502630860285445	NS
0.155636544753684	0.380269697822707	GRHL1	-0.588376217621537	-0.432739672867854	0.471680682876243	NS
0.139548373737195	0.566642979716899	ETS2	3.77539989113887	3.91494826487606	0.641201266521754	NS
-0.137634680302462	0.441040835140648	RANDOM3_2_minP	-0.0973420144737083	-0.234976694776171	0.513682501503954	NS
