tf,condition,primetime_logFC,chromVAR_dif,tobias_logFC,primetime_sign,chromVAR_sign,tobias_sign,primetime_pval_adj,chromVAR_pval_adj,tobias_pvalue
STAT4,Heat_shock_NPC,-0.0280268973255615,0.008344234733751968,0.24457,NS,NS,NS,0.923199569491425,0.6566124451880637,3.52714e-133
STAT6,Chiron_removal,NA,0.005850104654441171,-0.05381,NA,NS,Downregulated,NA,0.849032979238393,6.99177e-75
STAT6,FOXA1_overexpression,NA,0.029695657913972245,0.05814,NA,NS,NS,NA,0.8530722529158625,1.3357299999999998e-57
STAT6,LIF_removal_24h,NA,9.017818428914007e-4,-0.04491,NA,NS,Downregulated,NA,0.9643935030670072,4.57744e-69
STAT6,POU5F1_degradation,NA,-0.007014978662872569,-0.11577,NA,NS,Downregulated,NA,0.7237429626906746,5.582719999999999e-104
STAT6,SOX2_degradation,NA,0.010872446190103652,-0.1755,NA,NS,Downregulated,NA,0.5382537765211548,3.6529e-130
TCF7,Chiron_removal,-4.8340326888891,-0.14417683546375032,-0.32944,Downregulated,Downregulated,Downregulated,6.23725724900778e-13,1.3046162538499758e-7,2.47447e-151
TCF7,FOXA1_overexpression,-1.23843937134416,-0.0052050388183005735,0.08566,NS,NS,NS,0.102531993832312,0.5775547439282114,3.6935e-66
TCF7,LIF_removal_24h,-1.41231627533851,-0.041341930183197206,-0.11036,NS,NS,Downregulated,0.0706582714740318,0.09441060591238264,7.535469999999998e-104
TCF7,POU5F1_degradation,-0.327701387182957,-0.012791024539597465,-0.17047,NS,NS,Downregulated,0.379474281508501,0.5519563806111738,8.65531e-121
TCF7,SOX2_degradation,0.85739354346581,-0.04961394362332605,-0.24026,Upregulated,Downregulated,Downregulated,3.48989011190433e-5,0.011197003865139396,7.992079999999998e-141
TCF7,Serum,-1.95012383219417,-0.0872288036843506,-0.1793,Downregulated,Downregulated,Downregulated,2.83369895632544e-6,0.007295380044257668,1.3729799999999996e-116
TCF7,Forskolin,0.638597035135159,0.0069774102758762835,-0.05465,NS,NS,Downregulated,0.0898376754153211,0.9681364143246259,4.9643399999999995e-65
TCF7,Heat_shock,-0.420530158533612,-0.0567456824749337,-0.234,NS,Downregulated,Downregulated,0.117252990347268,0.024748371756012043,9.56548e-124
TCF7,LIF_removal_1h,-0.11122728560116,0.007856589604528688,-0.04694,NS,NS,Downregulated,0.932201579881635,0.9967208797546465,3.15921e-55
TCF7,LIF_removal_3h,-0.217303340877131,-0.03414018833680141,-0.10441,NS,NS,Downregulated,0.890857641398841,0.9990609479484573,1.57425e-91
TCF7,LIF_removal_6h,-0.413990012256799,-0.03935229147232687,-0.13189,NS,NS,Downregulated,0.535884472001341,0.8041679321957751,5.25353e-102
TCF7,mNPC_differentiation,-3.2424817686359,-0.20220481094971948,-0.27409,Downregulated,Downregulated,Downregulated,2.32256177291755e-8,3.7846041652997005e-10,2.7707799999999996e-140
TCF7,TFCP2L1_knockdown,0.298453885735701,-0.013014665536982228,-0.0018,NS,NS,NS,0.633293727882108,0.9451855424841861,0.0732246
TCF7,Forskolin_stimulation_NPC_24h,0.0357718109906932,0.013782637092337721,0.08244,NS,NS,NS,0.936450156163708,0.9667729220897776,2.1329599999999998e-71
TCF7,Forskolin_stimulation_NPC_4h,0.0885415920525758,0.0033430254614049415,0.09459,NS,NS,NS,0.579923882362956,0.9932348525597723,3.8694199999999995e-71
TCF7,Heat_shock_NPC,-0.3898732218097,0.007328954739009047,0.29435,NS,NS,NS,0.0895815601784258,0.8323386952540499,4.54358e-126
TCF7L2,Chiron_removal,-5.37088665755194,-0.1469341331515297,-0.36237,Downregulated,Downregulated,Downregulated,0.00169839342902536,4.804198475699021e-7,4.100659999999999e-157
TCF7L2,FOXA1_overexpression,-1.03565945265409,0.008101588652589184,0.08521,NS,NS,NS,0.90610426059522,0.6692220437713786,4.8708600000000007e-76
TCF7L2,LIF_removal_24h,-0.103087014923098,-0.040094392902943386,-0.12805,NS,NS,Downregulated,0.988405941782305,0.16655427090323313,1.0225599999999999e-117
TCF7L2,POU5F1_degradation,-0.266132803176012,-0.027896024557676233,-0.17717,NS,NS,Downregulated,0.886117861662768,0.2104860333946366,1.5510599999999999e-130
TCF7L2,SOX2_degradation,-0.724933436517397,-0.083609117601113,-0.31558,NS,Downregulated,Downregulated,0.642262773266044,3.914341754368403e-4,3.2880499999999995e-155
TCF7L2,Serum,-1.75352279931912,-0.0828277918958833,-0.18643,Downregulated,Downregulated,Downregulated,1.4092619074041e-4,0.03304526173201026,2.46536e-132
TCF7L2,Forskolin,0.960469846763945,0.013978570047560042,-0.03469,NS,NS,Downregulated,0.0126044405535822,0.9681364143246259,8.343149999999999e-54
TCF7L2,Heat_shock,-0.12159149362882,-0.05546652540332597,-0.23379,NS,NS,Downregulated,0.697880665263242,0.055164923432977776,3.774759999999999e-130
TCF7L2,LIF_removal_1h,-0.179994885925241,0.011706239565811342,-0.02021,NS,NS,Downregulated,0.932201579881635,0.9967208797546465,1.8349499999999998e-34
TCF7L2,LIF_removal_3h,0.143067465847657,-0.029247649739401412,-0.09641,NS,NS,Downregulated,0.941411719001189,0.9990609479484573,2.4397999999999997e-87
TCF7L2,LIF_removal_6h,-0.127212151071401,-0.04211905558597839,-0.12027,NS,NS,Downregulated,0.847685360720486,0.8041679321957751,1.18013e-99
TCF7L2,mNPC_differentiation,-3.68711304140065,-0.1813863946284495,-0.3239,Downregulated,Downregulated,Downregulated,4.91984430183066e-9,3.2942384420964894e-8,6.927289999999999e-149
TCF7L2,TFCP2L1_knockdown,0.382288554341904,-0.012553503555922788,0.0051,NS,NS,NS,0.596580434937832,0.9451855424841861,1.52322e-7
TCF7L2,Forskolin_stimulation_NPC_24h,0.125345014016192,0.00321601884915515,0.0716,NS,NS,NS,0.857188087274161,0.9667729220897776,2.89583e-79
TCF7L2,Forskolin_stimulation_NPC_4h,-0.246004989779166,-0.0016531372365139463,0.03702,NS,NS,NS,0.204211454153631,0.9932348525597723,4.7680699999999995e-42
TCF7L2,Heat_shock_NPC,0.318610689251349,0.021098416449319646,0.33399,NS,NS,NS,0.170367716454755,0.531180591901544,1.5075999999999999e-136
TEAD1,Chiron_removal,0.44991329193077,0.03579608436639779,-0.01534,NS,NS,Downregulated,0.0120953255215188,0.5213901931117476,1.94779e-39
TEAD1,FOXA1_overexpression,0.221789567379107,0.050953074687843,0.13745,NS,NS,NS,0.922631756910257,0.16802400213425228,5.60928e-95
TEAD1,LIF_removal_24h,0.328192448372901,-0.0052941035720064575,-0.0834,NS,NS,Downregulated,0.0759906103193245,0.9246026110448676,5.317869999999999e-96
TEAD1,POU5F1_degradation,0.969316337492324,0.06541082027360587,0.02989,NS,Upregulated,NS,0.0150055251590282,0.02213550050190645,6.6185699999999994e-49
TEAD1,SOX2_degradation,0.348177366035264,0.1012982396112138,0.12951,NS,Upregulated,NS,0.0755267001837405,5.241398685455654e-4,1.7587499999999997e-113
TEAD1,Serum,0.89835091563775,0.0635993445199628,0.10811,Upregulated,NS,NS,1.41111044104366e-6,0.22697685449704522,1.5047499999999996e-98
TEAD1,Forskolin,-0.786391568590037,-0.061975024739871126,-0.22372,Downregulated,NS,Downregulated,1.6772291745881e-4,0.600464409669548,9.5081e-129
TEAD1,Heat_shock,-0.574373719811601,0.12074683868306547,0.00775,Downregulated,Upregulated,NS,0.00144022120745189,0.0012972890417545834,2.40528e-4
TEAD1,LIF_removal_1h,-0.0738517233037413,0.033515974444640696,0.07547,NS,NS,NS,0.932201579881635,0.9967208797546465,1.1587499999999999e-78
TEAD1,LIF_removal_3h,0.169684028747148,0.011273442850078263,-0.01258,NS,NS,Downregulated,0.794304778765172,0.9990609479484573,5.14644e-16
TEAD1,LIF_removal_6h,0.0711137119076069,0.0021681902961043636,-0.06253,NS,NS,Downregulated,0.789676869403813,0.9972264321673686,3.04508e-73
TEAD1,mNPC_differentiation,-3.0570314075994802,-0.05174737451962581,-0.15183,Downregulated,NS,Downregulated,4.27874682571484e-13,0.09105902053683715,2.1612699999999996e-115
TEAD1,TFCP2L1_knockdown,-0.124956836108676,-0.015189107323892156,-0.04983,NS,NS,Downregulated,0.633293727882108,0.9451855424841861,1.0945799999999998e-65
TEAD1,Forskolin_stimulation_NPC_24h,-0.0308629408212682,0.009160559402984297,0.13871,NS,NS,NS,0.965000273251361,0.9667729220897776,2.0525e-96
TEAD1,Forskolin_stimulation_NPC_4h,0.0615205915183935,-0.01796849542635677,0.0394,NS,NS,NS,0.768410610492384,0.9932348525597723,1.5487099999999999e-37
TEAD1,Heat_shock_NPC,-0.315306779385917,-0.02812525877937261,0.15467,NS,NS,NS,0.122571616226373,0.4620357939128536,3.2487099999999996e-103
TFAP2A,Chiron_removal,0.0988127413515438,-0.014849826383904153,-0.07884,NS,NS,Downregulated,0.908130000950612,0.61443629483598206,2.8489300000000003e-88
