logFC	P.Value	tf	DMSO	FBS	p_adjusted	sig
-0.371466362331503	0.00511353513204541	RXRA	0.898808526018938	0.527342163687435	0.0263858412813543	NS
0.384687994919952	0.00533153116304677	ATF4	2.33577478342584	2.72046277834579	0.0264525969243475	NS
0.386199157640155	0.0121106850011168	ATF2	-0.834041539133559	-0.447842381493404	0.048821198910752	NS
0.334204205222628	0.0163480776277878	ATF6	0.601137549237645	0.935341754460274	0.0602543432567036	NS
0.291042761424429	0.0665534356997238	THRB	-0.656469833069952	-0.365427071645523	0.18266794053754	NS
0.241748641602884	0.223152488276021	RANDOM1_3_minP	-1.31808690455657	-1.07633826295369	0.456931285517567	NS
-0.195443918084182	0.203158674849219	PPARA::RXRA	-0.937945393977564	-1.13338931206175	0.429630640254906	NS
0.190655764812201	0.21619320300469	RANDOM3_1_minP	-0.633073363972998	-0.442417599160797	0.449821341735565	NS
-0.185584641577825	0.285535314908696	POU2F1	0.422981489833249	0.237396848255424	0.518789515820026	NS
0.175625876280927	0.296478771041074	RUNX2	-1.19481792324855	-1.01919204696763	0.524310732491668	NS
0.145444848718071	0.283252114138295	MYBL2	-1.00117246957844	-0.855727620860374	0.518789515820026	NS
0.17982887424603	0.402878294342076	GATA3	-1.26603703576036	-1.08620816151433	0.592731043503094	NS
0.158061226992037	0.328312148662306	RANDOM1_1_minP	-1.29441961425439	-1.13635838726235	0.550029443862824	NS
0.137656104991117	0.396691293524009	RANDOM1_2_minP	-1.28439537370928	-1.14673926871816	0.592731043503094	NS
0.144299834902153	0.399903176895193	RANDOM3_2_minP	-0.701206517512915	-0.556906682610762	0.592731043503094	NS
-0.135028992954192	0.403597157836334	GRHL1	0.859991314293283	0.724962321339091	0.592731043503094	NS
-0.11026111741865	0.470700920439368	POU5F1::SOX2	2.72498369145987	2.61472257404122	0.681336026325182	NS
-0.0653701271820228	0.735021760469003	ETS2	1.20052744461697	1.13515731743495	0.861980064550013	NS
0.117202732648906	0.495043114383279	RANDOM2_1_minP	-1.48120702486925	-1.36400429222034	0.694136540820033	NS
0.0955613861587954	0.527187149502514	AR	-1.4462005609872	-1.3506391748284	0.722563468863308	NS
0.0921204796912751	0.564600633194996	ONECUT1	-1.40628340567758	-1.3141629259863	0.743198792675046	NS
0.0669532097864843	0.622624882818948	RANDOM3_3_minP	-0.693319540392856	-0.626366330606372	0.787268293242213	NS
0.0760189074158146	0.632905351718951	NFAT5	-0.457098806405595	-0.38107989898978	0.787268293242213	NS
0.0869649427253467	0.63469691858287	STAT1	-2.10896371114855	-2.02199876842321	0.787268293242213	NS
0.0401388970273316	0.782478748865745	ZFP42	-1.09099988471023	-1.0508609876829	0.877737031336357	NS
-0.0555981590073244	0.682595281601265	FOXO1	-0.739252534433117	-0.794850693440442	0.807842122262047	NS
