logFC	P.Value	tf	DMSO	NPC	p_adjusted	sig
3.09967816122559	9.6340955307888e-21	ETS2	1.20158174921845	4.30125991044403	1.24279832347176e-18	Upregulated
2.60945328839663	1.76180602721514e-18	ATF2	-0.83357587103477	1.77587741736186	7.57576591702512e-17	Upregulated
-2.16860461236286	1.76610263349465e-15	POU5F1::SOX2	2.7257967669099	0.557192154547041	4.55654479441619e-14	Downregulated
-1.84251996725092	1.26660188151421e-12	RXRA	0.912765648424163	-0.929754318826755	1.36159702262778e-11	Downregulated
1.31062684421101	8.42228487529625e-09	POU2F1	0.42053175056919	1.7311585947802	4.93852158596916e-08	Upregulated
1.4213441446268	1.9405082515721e-08	RARA	-2.51450902566179	-1.09316488103498	9.027271530591e-08	Upregulated
1.37918001417743	1.85037083529486e-08	STAT1	-2.11402134943176	-0.734841335254338	9.027271530591e-08	Upregulated
-1.23818317384746	6.54678323901559e-08	GRHL1	0.856738150438817	-0.38144502340864	2.4839265818618e-07	Downregulated
1.05649257255013	3.36277935156088e-07	RANDOM1_2_minP	-1.26720666767417	-0.210714095124036	1.17242847662528e-06	Upregulated
0.981742794813418	5.56248891584531e-06	CEBPA	-1.24550029432224	-0.263757499508823	1.66874667475359e-05	Upregulated
1.09749070527563	1.08007367058094e-05	NFIA	-1.34112987698413	-0.2436391717085	3.02890225010742e-05	Upregulated
0.933664083069118	6.17626606524838e-05	ONECUT1	-1.40705170131469	-0.473387618245568	0.000162599657636131	Upregulated
-0.813184163825669	0.00013945562322617	ATF6	0.602914003649794	-0.210270160175875	0.000352740694042665	Downregulated
1.03529338052481	0.0002630661092362	GATA3	-1.2703270506131	-0.235033670088289	0.00062843570539759	Upregulated
0.798937698978789	0.000584805144662022	RANDOM1_1_minP	-1.29710645435424	-0.498168755375453	0.00134714042252502	Upregulated
0.765006507716344	0.000641079361153243	THRB	-0.659462289286193	0.105544218430151	0.00145086381734681	Upregulated
0.741448846652247	0.00159322250324551	RANDOM2_1_minP	-1.47600135628273	-0.734552509630484	0.00348348649014696	Upregulated
0.608522968434905	0.00347118821322499	ZFP42	-1.09069361579504	-0.482170647360132	0.00746305465843373	Upregulated
0.670917722546717	0.00384653777966801	RUNX2	-1.20238094486067	-0.531463222313953	0.00810258905379058	Upregulated
0.564975223893727	0.00552798556558599	AR	-1.44748115577587	-0.882505931882144	0.0111585100807568	NS
0.553782201709109	0.00778089205420415	RANDOM2_2_minP	-1.29230525264066	-0.738523050931552	0.0145468851448165	NS
0.598496045244648	0.0129088425448115	RANDOM3_2_minP	-0.699820543738036	-0.101324498493388	0.0225032525443335	NS
0.496916476718407	0.0127202136570623	PPARA::RXRA	-0.922579982684071	-0.425663505965663	0.0224781857775485	NS
0.503478058898836	0.0163891937125885	FOXO1	-0.756378135990238	-0.252900077091402	0.0281894131856522	NS
0.48544634203247	0.0176875284985572	RANDOM1_3_minP	-1.31782450512313	-0.832378163090656	0.0300222523199194	NS
0.492264831149135	0.0457307295422188	MYBL2	-1.00251825655226	-0.510253425403126	0.0670370921698434	NS
-0.345252547783838	0.0626415692511647	ATF4	2.3127827093011	1.96753016151727	0.0897862492600027	NS
0.36143096649314	0.116337195759169	OTX1	-0.99573795706569	-0.634306990572551	0.156328106801383	NS
0.256615131787545	0.163230118035295	PGR	-0.944411122881288	-0.687795991093743	0.21056685226553	NS
0.235373357633991	0.294509894669572	RANDOM3_1_minP	-0.632358804419624	-0.396985446785633	0.34823549928981	NS
0.130437225435775	0.527716214492817	NFAT5	-0.464351201993491	-0.333913976557715	0.581840954440798	NS
-0.0540926300781449	0.778216914361918	ZFX	-0.483176969092763	-0.537269599170908	0.8161787150625	NS
0.0476993537498644	0.795535285005239	RANDOM2_3_minP	-1.19994326382208	-1.15224391007221	0.827613320690934	NS
0.0204392624546654	0.916238286249021	RANDOM3_3_minP	-0.693374427050597	-0.672935164595932	0.923396397860342	NS
5.80376455729854	6.52433120964154e-20	STAT1::STAT2	-2.10593993038088	3.69782462691766	4.20819363021879e-18	Upregulated
