logFC	P.Value	tf	DMSO	FK	p_adjusted	sig
1.13864819330107	4.03709332765874e-09	ATF6	0.598173879130083	1.73682207243116	8.67975065446629e-08	Upregulated
0.632255691544971	0.000198850760079649	THRB	-0.647630687834272	-0.0153749962893004	0.00171011653668499	Upregulated
-0.520442502149201	0.00392192645926128	GRHL1	0.829577514726654	0.309135012577453	0.0252964256622352	NS
0.418099212631292	0.00874643083039781	ATF4	2.33322183384566	2.75132104647695	0.0433957529662045	NS
-0.402803812661707	0.0167828756637717	FOXO1	-0.740447562195149	-1.14325137485686	0.0698384180847273	NS
-0.378295100702824	0.0254454006336638	RANDOM1_1_minP	-1.294084315641	-1.67237941634383	0.093784476621218	NS
-0.447550348790163	0.0298201186437704	OTX1	-1.01768924744134	-1.4652395962315	0.106855425140177	NS
-0.459705424408807	0.0356646533131139	RANDOM2_2_minP	-1.27816752251178	-1.73787294692059	0.1179676994203	NS
-0.387959377274993	0.0595065237100131	RANDOM3_2_minP	-0.701348569248783	-1.08930794652378	0.178519571130039	NS
0.385765985490991	0.0620054149026956	RARA	-2.5083012134617	-2.12253522797071	0.181788602782903	NS
-0.329249004110689	0.074663468331331	RANDOM1_3_minP	-1.31783674185489	-1.64708574596558	0.211035809129513	NS
-0.2792591646609	0.0785449540588368	MYBL2	-1.00164062282832	-1.28089978748922	0.215580831352978	NS
-0.262339912821213	0.102015202282695	ZFP42	-1.09289209906054	-1.35523201188176	0.253076174893608	NS
-0.284126601684964	0.118594203848021	PPARA::RXRA	-0.921877003502243	-1.20600360518721	0.276248304783615	NS
-0.299564681788442	0.122063204439272	RUNX2	-1.18936631761701	-1.48893099940545	0.276248304783615	NS
-0.237163996567065	0.141361519825308	RANDOM2_3_minP	-1.2234614243502	-1.46062542091727	0.309078577245166	NS
-0.226659803221654	0.179397900089258	RANDOM3_3_minP	-0.691120198301576	-0.91778000152323	0.367338557325624	NS
0.24187782065557	0.217162639745682	ONECUT1	-1.40667274930326	-1.16479492864769	0.410277691344872	NS
-0.15517006557509	0.274021286600942	RXRA	0.899613430825239	0.744443365250149	0.465115078572651	NS
-0.192147725632659	0.260295197763576	RANDOM3_1_minP	-0.63224986193999	-0.824397587572649	0.458869210911894	NS
-0.184951312043079	0.371272268361346	GATA3	-1.26792236205779	-1.45287367410087	0.584074666080654	NS
-0.15249881424066	0.397463983093001	AR	-1.43608102466162	-1.58857983890228	0.596195974639501	NS
-0.153236725629095	0.383676345976604	ZFX	-0.493446893047083	-0.646683618676178	0.5922124178643	NS
0.13627718008191	0.392393321050923	POU5F1::SOX2	2.7237809228866	2.86005810296851	0.59551456959493	NS
-0.145838608560726	0.460203634875314	NFAT5	-0.454809323995848	-0.600647932556574	0.62222688874659	NS
-0.122299365528008	0.483340177688647	POU2F1	0.422891524103962	0.300592158575954	0.636233499202403	NS
-0.11923506309747	0.616222961719431	ETS2	1.20037059306043	1.08113552996296	0.735113616830221	NS
-0.0837165207230254	0.643936734122596	RANDOM1_2_minP	-1.26581297348076	-1.34952949420379	0.735113616830221	NS
-0.0754605410779051	0.73248979849164	STAT1	-2.0973021883378	-2.1727627294157	0.800456935908377	NS
0.069894176883494	0.738406010644162	ATF2	-0.837695298963054	-0.76780112207956	0.800456935908377	NS
-0.031476183233385	0.874408675210965	PGR	-0.94514159515444	-0.976617778387825	0.92457966477225	NS
-0.049294094087913	0.766217492182748	NFIA	-1.3423382276751	-1.39163232176301	0.823683804096455	NS
-0.0418261167864134	0.83806073382868	RANDOM2_1_minP	-1.48341939494388	-1.52524551173029	0.893469707966113	NS
-0.0225676684881397	0.891124750630462	CEBPA	-1.24605453555752	-1.26862220404566	0.927057200252658	NS
-2.5826244239153	3.13168388950922e-15	MEF2A	0.61727018833486	-1.96535423558044	4.03987221746689e-13	Downregulated
1.12044845768536	2.13288331894761e-10	FOS::JUN	0.592611428926786	1.71305988661214	9.17139827147474e-09	Upregulated
