mES_2i_LIF_r3	mES_2i_LIF_r2	mES_2i_LIF_r1	mES_2i_r1	mES_2i_r2	mES_2i_r3
4	24	19	9	14	3
62	93	77	69	40	41
1397	1810	2163	2832	2573	1646
19	13	25	20	24	11
18	12	8	6	8	1
15	26	13	20	19	15
7	13	10	0	2	1
22	29	19	2	4	4
608	724	693	587	620	504
5187	5445	5118	4970	5327	3978
2951	3227	3083	1411	954	826
186	177	156	43	33	37
3	5	2	1	3	0
237	332	241	137	124	120
1739	2072	1989	1870	1802	1305
0	1	0	2	1	0
213	323	326	290	293	148
274	318	260	255	279	213
0	0	0	0	1	0
1	1	1	0	0	0
453	593	438	435	402	323
11	25	17	6	7	8
302	369	351	135	189	104
934	1057	952	704	714	580
1285	1391	1353	1372	1401	957
124	137	93	176	105	108
0	0	1	0	0	1
10	15	9	9	10	4
175	196	196	195	152	146
1	4	4	0	3	0
1	2	6	2	6	0
0	2	10	12	7	2
0	2	0	2	3	1
2	13	7	10	3	1
0	1	0	1	0	0
19	10	20	2	14	8
2	1	1	0	0	0
159	174	81	44	105	114
33	70	71	51	51	13
0	1	1	0	1	0
594	707	532	518	774	544
2	1	0	0	0	0
1	0	1	2	0	1
1	1	0	0	2	0
34	51	43	39	46	42
1317	1378	1359	1243	1201	843
235	374	255	150	178	148
259	301	210	114	153	145
2997	4348	6045	6311	5782	3700
88	136	149	175	162	97
471	660	977	1131	948	608
69	76	105	104	100	69
65	81	125	113	99	72
334	487	618	637	713	358
242	374	420	510	446	349
433	631	823	1379	1173	644
3	2	4	0	4	1
469	634	786	1125	980	558
46	66	80	97	106	42
93	165	223	265	263	162
91	156	194	206	186	96
380	533	741	685	673	475
576	796	1003	1333	1233	711
99	126	165	159	207	110
846	1330	1651	1786	1709	1155
1615	1953	2646	2430	2542	1780
420	602	937	973	914	549
465	598	807	872	802	516
84	154	147	164	163	99
115	114	96	98	85	85
5	7	2	5	1	2
410	552	572	555	490	331
193	206	252	205	185	153
605	756	687	704	648	519
6	6	2	3	0	4
752	1000	1049	1054	1028	605
472	778	862	862	686	429
1469	1736	1941	1468	1376	1120
26	44	33	13	13	17
238	319	240	215	216	149
473	496	338	225	263	223
42	49	67	66	79	42
251	256	290	221	153	125
2	1	2	3	2	1
175	194	185	234	222	151
1473	1895	1691	1634	1674	1124
0	0	1	0	0	0
2683	3089	2778	2728	2984	2418
2151	2411	2855	3118	2568	1947
12	15	17	20	14	17
7025	9256	10429	11315	9593	6502
0	1	1	0	1	0
122	150	155	133	104	68
720	744	662	728	730	636
199	266	245	265	241	199
3	4	4	0	6	2
428	398	469	455	420	387
3075	3512	3316	3235	3441	2672
993	1527	1352	1487	1340	765
2881	3506	3474	3971	3378	2618
6	4	0	9	6	6
200	253	260	251	211	181
517	665	692	656	756	462
253	306	306	296	297	221
2650	3274	2899	2718	2898	2196
140	144	153	183	164	155
877	1101	1063	761	828	630
249	270	243	257	275	156
165	241	134	77	99	64
408	469	437	428	411	313
8	18	15	5	6	3
24	28	23	27	29	13
24	50	24	14	44	50
1	3	9	1	0	1
5204	6348	6553	7153	8086	5382
2055	2488	2368	2350	2326	1767
5	3	5	4	8	3
149	219	173	176	235	145
3106	3397	3573	3651	3908	3053
1	1	0	1	1	1
214	342	449	425	377	197
17	16	26	27	29	24
430	619	584	533	541	364
0	0	1	0	0	1
3278	3681	3706	3655	3457	2708
40	53	64	64	68	32
328	679	533	411	443	254
482	676	690	706	591	418
187	235	325	259	232	152
19	34	32	16	38	27
2666	3263	3109	3145	2976	2204
917	1261	1504	1370	1263	805
15	22	27	19	29	10
98	105	90	93	91	105
1	2	3	8	3	1
937	971	886	852	839	665
14	24	33	36	14	19
0	0	4	23	7	2
532	668	745	762	637	441
25	33	41	30	26	13
10038	11136	14227	12499	12135	9363
123	120	120	230	137	125
6	11	9	6	3	11
67	58	70	55	42	44
1	0	0	0	1	0
319	302	298	293	300	270
136	157	155	162	145	124
538	589	715	681	652	462
2439	2684	2744	2911	2646	2047
22	24	18	6	13	22
124	174	271	411	310	228
140	208	196	205	186	135
633	648	672	783	671	528
8	9	16	18	8	17
25	36	39	33	22	30
125	139	99	86	67	56
8	5	4	2	6	1
8	7	7	12	4	11
54	73	79	50	69	45
0	1	0	0	1	1
0	1	3	0	0	0
210	226	228	238	226	189
18	17	22	21	13	17
128	169	178	171	200	126
1145	1163	1156	1172	1143	960
45	42	53	42	39	39
1928	2442	2344	2746	2370	1661
69	77	73	82	90	67
196	240	262	232	247	180
1	0	0	2	0	0
71	89	86	96	91	66
0	0	1	0	1	0
6552	6979	6254	7621	7576	5505
1226	1554	1594	1476	1517	1123
424	481	511	522	480	391
0	0	1	0	0	0
4705	5218	5945	5728	4553	3741
9	18	16	14	22	11
634	661	867	917	772	587
86	108	131	93	108	74
1136	1058	892	1039	1071	950
1	0	0	1	1	0
2021	2119	2304	2257	2226	1710
1	1	8	13	6	1
0	1	0	1	2	1
3	7	8	3	5	3
798	903	1081	957	919	670
1955	2373	2258	2172	2179	1757
2806	2943	2950	2799	2691	2220
35	48	67	102	70	32
412	448	522	516	499	309
0	0	0	1	1	1
92	142	128	95	132	66
1021	1049	1191	1218	1172	908
206	297	306	282	319	231
185	270	384	414	294	146
1272	1402	1437	1478	1279	1118
10	6	14	16	8	8
98	84	84	95	88	65
1558	1487	1516	1492	1382	1220
22	3	8	19	5	12
1	4	1	4	6	3
3	3	1	2	3	2
440	684	688	712	618	403
9	10	5	4	8	3
4111	5218	5313	5153	5616	3873
15	27	9	2	0	2
167	210	266	194	225	175
5467	6012	5641	4976	5050	4243
0	1	0	1	0	3
774	1018	1039	966	1493	939
878	1013	1237	1163	926	775
37	31	39	42	35	30
347	417	408	408	371	283
550	644	596	497	568	462
772	967	858	1031	1067	794
344	444	384	412	411	290
644	868	875	893	850	584
1	0	0	2	1	0
41	30	60	49	60	39
1403	2196	2114	2985	2657	1524
1128	1297	1584	1838	1480	1020
7	15	25	20	18	12
3	7	10	8	17	11
1	5	11	11	19	7
240	323	328	403	392	281
272	241	266	294	285	289
0	0	2	0	0	0
16	14	11	21	21	20
51	58	49	125	96	84
24	17	30	27	22	11
0	0	0	1	0	0
172	242	202	296	300	228
227	270	243	268	277	233
2333	2777	2880	2945	2715	2100
301	351	443	466	423	315
37	43	38	71	76	60
614	616	699	675	632	488
675	712	748	756	747	685
5	2	2	3	7	2
415	553	532	486	528	399
96	101	92	105	124	63
976	1247	1328	1519	1288	933
6	8	8	17	12	10
0	0	2	0	4	2
6	7	5	15	14	11
2	0	0	2	2	6
0	0	0	0	0	1
25	27	28	178	130	57
29	42	49	59	41	32
1	0	0	0	0	0
63	52	65	76	70	63
0	0	0	0	1	0
0	0	1	0	0	0
5	4	5	18	33	12
301	410	312	333	302	267
15	9	12	19	15	19
385	583	526	644	653	425
39	39	67	50	45	39
881	1111	1082	1397	1177	821
525	662	774	813	793	518
15	7	4	10	4	1
0	1	1	2	1	1
13	6	12	2	0	0
148	210	189	256	213	173
0	0	1	0	0	0
0	1	0	1	3	2
836	979	931	1107	1176	832
306	474	380	350	428	299
872	898	895	943	966	776
4998	6191	5818	5743	5180	4175
2987	3239	3030	2901	3348	2890
3	1	4	3	16	5
4	3	9	7	5	1
635	697	758	925	921	654
593	1033	932	946	939	541
897	1046	1054	1309	1207	864
657	840	755	831	947	719
269	336	346	351	309	250
1476	1529	2355	1876	1763	1340
174	215	230	279	238	127
239	241	357	699	540	381
185	186	211	169	193	171
75	91	120	140	97	57
11	15	10	9	10	7
83	87	81	54	90	59
276	252	299	308	280	207
1	1	4	2	1	4
173	228	190	166	198	162
373	512	558	452	430	296
576	760	802	648	697	482
67	99	100	82	78	54
565	853	869	834	764	472
13	10	17	21	17	8
0	1	4	2	1	0
2	5	2	4	1	1
4362	4783	5030	4766	4368	3326
76	130	127	128	131	82
269	416	610	179	204	112
1925	2286	2205	2163	2005	1640
19	18	51	105	98	65
1	0	0	0	0	0
1014	1117	1444	1340	1263	1032
192	228	182	218	241	197
260	370	270	241	288	242
1469	2097	1890	2161	1805	1064
6	1	1	2	1	0
192	283	242	254	312	189
76	121	120	163	138	77
2	0	0	1	0	0
52	53	49	20	50	53
2	2	0	0	1	1
2060	2504	2201	1980	2199	1636
4	17	8	0	14	14
1173	1431	1269	1515	1267	1012
224	298	248	215	214	165
511	751	790	728	1034	683
1757	2034	1965	2130	1940	1475
1	0	2	0	0	3
39	34	57	64	52	35
181	212	211	270	226	142
1402	1675	1679	1699	1552	1122
5	15	8	7	9	5
1124	1284	1256	1646	1467	1041
2171	2532	2182	2690	2312	1743
1291	1519	1672	1472	1659	1217
47	41	34	94	54	46
1696	1835	1787	1642	1673	1344
173	186	206	200	184	162
2	4	1	2	2	1
284	323	238	251	269	212
1	3	9	4	5	2
1	0	2	0	0	0
1	2	2	1	0	0
184	257	264	186	205	126
1343	1598	1605	1529	1556	1191
89	118	130	99	92	69
30	39	25	47	25	18
646	813	807	740	725	498
221	260	266	283	285	192
376	391	492	405	404	306
60	64	71	77	68	46
15	29	48	32	31	20
156	128	209	150	205	131
28	49	39	45	42	25
937	1157	1137	1186	1027	850
0	0	1	0	0	1
252	359	316	231	338	263
130	176	153	125	160	134
7139	8032	7164	6720	8010	5956
56	59	42	41	24	18
23	47	28	33	24	34
73	95	88	85	96	61
220	228	221	219	243	219
15	5	15	11	8	12
391	480	467	468	528	433
1899	2300	2057	1525	1604	1429
610	717	682	680	682	570
632	814	732	778	694	489
6521	6880	7016	7239	6341	5096
1221	1515	1460	1388	1362	1123
8	19	11	10	13	6
599	615	669	610	578	473
13	24	33	70	45	11
0	5	2	3	0	3
801	893	1043	1226	1075	805
2	0	2	6	6	8
1056	1255	1256	1250	1101	873
452	499	465	596	541	404
1029	1190	1233	1217	1079	839
91	73	80	98	89	89
10	8	8	9	8	1
429	458	370	338	433	388
6	9	8	8	5	2
1	6	1	1	1	3
2396	3053	3346	3489	3217	2413
2270	3399	3171	1254	1588	989
118	193	158	187	191	145
868	1329	1109	1303	1230	711
810	848	883	828	871	706
4785	4919	4744	5726	4821	3954
82	70	82	89	138	101
15	9	6	9	7	7
705	788	860	1111	983	757
1253	1614	1627	1724	1764	1214
103	144	154	171	143	122
1	1	6	5	4	3
436	449	514	508	464	427
2451	2588	2402	2254	2416	2087
62	91	97	98	98	55
3170	3508	3372	3203	3062	2536
4	5	11	4	1	0
1299	1539	1611	1709	1436	1141
1057	1737	1338	1160	1978	1307
904	1121	1046	1093	992	739
2	1	5	0	1	1
17	12	10	33	25	7
2	2	6	7	4	1
618	862	1026	980	944	596
30	50	58	138	85	76
121	172	157	126	121	68
1	0	1	1	0	0
3727	4028	3368	3231	3665	3182
1381	1588	1463	1492	1529	1095
497	587	485	210	253	232
49	42	25	37	40	31
3892	4777	3530	3707	4082	3059
551	599	610	653	682	484
4751	5777	5649	5504	4648	3514
3	11	11	3	1	5
1085	1316	1257	1303	1275	889
2	2	6	4	3	3
258	229	212	281	310	228
0	0	1	0	0	0
0	1	1	2	0	0
2458	2992	2768	2089	2344	2109
0	0	1	5	1	0
0	1	0	2	4	0
13	6	5	11	14	15
506	737	761	553	826	566
392	570	617	485	694	471
0	0	0	0	2	0
290	340	314	267	338	246
95	94	69	34	38	47
275	368	417	353	290	169
51	35	59	63	68	43
0	0	2	0	0	0
1874	1970	2024	1767	1991	1590
321	470	405	472	457	277
57	71	70	66	43	27
590	728	725	874	724	494
371	540	561	515	467	298
248	287	287	275	272	224
4633	4898	5057	5131	4427	3885
129	169	128	82	111	116
588	655	449	343	342	282
376	534	364	382	373	212
30	49	60	37	65	34
6	4	2	1	5	2
121	138	405	1073	424	224
88	121	187	236	164	116
210	228	339	402	260	244
0	2	2	1	2	0
3	13	12	9	6	2
263	270	333	275	247	218
5	8	9	11	5	2
92	118	107	102	128	88
3977	4278	4790	4903	4285	3322
102	123	99	119	110	108
3	3	8	12	2	6
0	1	0	1	0	0
1	3	1	6	0	1
2489	3165	2689	2507	2444	1638
1421	1557	1333	1767	1975	1569
5	2	1	11	13	8
4	4	4	4	6	4
235	251	316	335	284	204
0	0	0	1	0	0
3256	4812	5092	5981	5091	3028
0	1	6	0	0	1
33	73	88	121	80	33
293	289	234	338	334	271
827	1159	1009	862	917	661
37	53	42	20	16	30
332	330	410	257	308	246
3	1	4	2	3	2
36	24	95	193	114	158
22	33	35	28	61	48
234	284	270	323	313	196
1381	1393	1541	1622	1525	1291
7990	9321	9498	4685	5140	4024
633	674	727	713	682	527
6	9	13	12	15	8
1838	2246	2469	2205	2184	1475
80	143	182	203	173	110
416	573	412	66	93	92
190	170	167	187	177	153
0	0	0	1	0	0
658	767	712	906	963	674
0	0	1	0	1	2
5517	6255	6096	6460	6098	4483
0	0	0	0	1	0
1	3	2	19	7	3
16	31	17	32	65	28
220	274	219	239	259	214
120	134	117	281	243	126
392	419	461	486	455	356
981	1220	1241	1348	1333	981
1	1	0	2	3	1
0	0	0	1	0	0
136	126	121	122	134	115
1293	1384	1281	1830	1742	1424
0	0	1	0	0	0
124	173	151	174	172	139
275	321	338	379	339	228
1	0	0	0	1	1
314	476	514	588	521	295
1	2	1	2	3	9
13	16	31	16	20	4
1194	1477	1479	906	1005	782
1182	1448	966	671	897	735
1045	1363	1196	1548	1242	912
1118	1767	1688	1381	1267	773
0	1	3	0	0	1
19	32	15	15	11	13
4	7	4	6	7	13
38	39	62	46	46	57
146	187	202	195	185	157
2703	3367	3301	3435	3256	2585
8	6	7	5	12	7
4291	4813	5878	4892	4886	3993
608	610	615	588	572	511
559	581	500	588	557	491
179	233	180	145	173	107
2411	2691	2638	3105	2937	2095
2796	3797	3646	3976	3859	2608
1419	1757	1377	1343	1432	1029
0	0	1	0	1	1
9	6	17	46	44	36
1	0	0	1	2	0
276	206	221	143	166	151
614	702	672	557	592	524
484	506	569	832	660	517
112	75	107	51	25	34
0	0	2	0	0	0
440	498	528	519	529	403
697	905	868	1069	880	631
976	1242	955	1324	1428	1011
1	0	0	3	1	0
167	207	195	309	237	154
1	8	5	8	4	2
5	2	1	6	4	4
364	397	469	474	490	319
143	212	206	219	221	157
2	0	0	0	1	0
17	18	9	9	9	14
0	1	0	0	1	0
0	0	0	0	1	0
626	711	733	746	773	619
212	309	329	514	459	277
0	1	2	3	5	2
603	864	783	859	789	464
0	1	0	0	0	0
0	0	1	0	0	0
7	10	5	2	6	6
0	0	2	0	0	0
50	60	63	88	108	76
1305	1581	1313	1450	1499	1150
0	0	0	1	0	1
1724	2007	1698	1448	1644	1150
1654	1562	1415	1671	1789	1452
107	147	98	89	93	104
17	20	1	1	2	13
169	348	254	337	337	222
0	2	0	0	0	0
50	62	60	65	38	43
2	0	0	0	2	0
471	703	492	475	481	349
39	51	49	68	75	55
187	190	204	204	179	145
3907	4640	4171	4451	3987	3257
37	36	19	28	12	25
663	673	561	603	708	549
3	3	6	2	0	3
14	30	25	22	19	11
3804	5250	3389	1198	1561	1042
61	79	36	10	17	27
199	185	159	139	147	153
1283	1585	1338	1391	1418	966
545	911	742	639	686	393
142	152	170	181	215	152
1	0	0	0	1	1
877	965	1021	1016	945	712
633	806	762	757	663	551
18	37	26	37	24	21
95	122	140	112	100	84
3153	3469	3240	3180	3451	2693
4528	5330	5322	5041	5210	4201
3459	4070	3739	3786	3611	2748
0	0	1	0	0	1
16	14	16	28	26	13
1	0	2	0	3	1
4489	5208	5312	4365	3670	2710
419	539	542	555	552	437
4401	4870	4712	5046	5245	3839
53	51	28	2	8	1
16	16	21	28	20	12
0	0	0	0	1	0
797	1113	1155	1215	1234	774
710	955	1098	1144	1059	642
0	1	0	1	0	0
10	13	7	26	12	16
0	0	0	1	0	0
2719	2921	3278	3463	2786	2298
0	0	1	0	0	0
0	0	0	0	0	1
14	14	9	6	12	6
3	2	4	8	6	4
0	1	0	0	0	0
0	0	0	1	0	0
5475	5860	5395	5310	4866	4178
528	721	632	705	764	554
3618	4358	3231	2789	5242	4562
362	459	480	430	437	346
410	396	372	385	451	376
16	31	32	26	18	12
1	0	0	0	0	0
7	8	13	17	8	4
224	232	203	216	200	182
4063	5471	4753	5234	5094	3261
0	0	1	0	1	0
0	1	1	0	1	0
2	2	5	9	6	4
0	1	0	0	1	0
3	1	1	0	0	1
0	0	0	0	0	1
15	24	31	28	47	27
0	0	0	0	1	1
1	0	0	0	0	0
0	0	0	0	0	1
12	7	5	0	0	2
466	545	161	40	86	121
697	768	773	744	806	628
2	1	2	5	5	7
121	122	130	192	115	124
11664	13616	12253	15817	14921	11073
2616	3355	3231	3473	2934	2093
10	14	12	19	18	12
45	58	59	98	72	41
2037	2361	2484	2392	2403	1784
0	2	8	3	1	0
0	0	1	2	0	1
0	0	1	0	0	1
1019	1264	1255	1228	1191	856
538	707	796	1217	1087	749
1	0	1	1	1	1
7	11	17	24	29	13
1341	1802	1909	1989	1946	1440
85	119	128	111	106	104
4961	5730	6052	5094	4405	3244
735	1023	908	1093	1023	795
0	0	0	0	0	1
58	115	96	104	102	67
0	0	0	0	0	1
0	0	0	2	0	0
0	0	0	1	0	2
220	332	280	266	296	174
458	537	553	513	513	420
4	6	20	29	46	31
9	13	12	11	30	19
107	120	135	105	131	74
74	111	108	85	80	85
149	145	146	172	145	130
1	2	1	0	1	0
2	4	2	5	5	1
5	8	22	72	34	17
0	0	0	0	1	0
0	1	1	2	0	0
21	39	14	6	14	12
14	10	14	15	7	7
25873	27930	25509	28763	27520	21606
9789	10134	8911	9576	9681	8410
1613	1958	1757	1751	1849	1419
0	1	1	1	2	0
3949	4502	3874	3896	4179	3035
533	789	877	880	739	454
1433	1473	1431	1440	1479	1250
0	0	0	0	0	1
235	292	290	235	296	257
1	3	1	0	3	1
425	519	524	556	523	401
29	44	52	41	48	31
234	276	241	302	290	215
12	12	8	5	3	0
0	2	2	5	2	0
96	123	148	254	263	167
1508	1774	1863	2200	1910	1322
1	0	1	6	2	1
3	2	1	9	4	1
270	284	374	831	475	371
1	3	7	8	2	0
5223	6476	5597	3701	4475	3477
236	322	315	630	460	311
0	0	0	1	1	0
450	521	534	1045	757	575
1197	1194	1395	1739	1250	1072
11	13	8	20	9	23
3	1	2	4	1	2
0	0	0	0	0	1
7084	7961	6636	3990	3090	2695
1058	1196	1449	1589	1278	855
606	838	1025	941	763	536
316	404	477	439	432	325
3	3	10	11	11	3
0	0	1	2	1	0
17	19	26	41	25	14
5	4	5	27	22	30
0	0	0	1	0	0
47	58	40	28	51	29
23	18	17	34	23	10
653	933	867	928	916	656
573	821	756	917	884	686
0	0	2	1	2	0
775	1059	1030	1217	1163	738
8	13	11	25	29	8
448	589	578	626	594	408
60	128	64	75	271	178
4	11	8	9	14	6
0	6	0	1	0	0
45	58	50	80	68	47
1	1	1	2	0	1
0	0	1	1	0	1
205	284	216	277	320	252
254	318	289	246	298	261
4	1	1	1	0	0
1247	1709	1395	1544	1459	945
0	0	1	0	0	1
6205	7318	8464	7389	8072	5943
62	67	66	67	85	50
5423	7731	7328	6719	6571	4288
351	556	628	539	535	346
543	724	856	908	793	517
890	1137	1045	998	990	775
107	132	157	213	158	101
1	1	5	2	2	2
0	1	0	0	1	0
1591	1790	2284	1829	2256	1587
5	13	11	8	8	4
1134	1484	1409	1734	1555	1029
9	6	11	10	4	4
1546	1956	1692	1660	1702	1265
60	57	68	79	65	66
173	278	244	225	236	135
35	51	50	53	50	36
3	0	0	1	0	1
79	120	82	99	105	61
1	0	4	0	0	0
4	0	0	0	1	4
0	0	0	0	0	1
88	64	82	79	71	61
38	72	71	73	81	51
75	74	125	126	149	82
73	106	135	119	121	85
142	234	310	289	246	199
13	22	24	47	36	12
102	139	161	175	146	98
16	19	35	90	41	26
408	385	435	510	435	366
144	237	311	277	229	142
1048	1307	1219	1280	1241	966
1264	1539	1533	1686	1313	870
780	1009	851	1214	1076	717
740	850	793	791	781	616
193	195	226	232	223	166
2683	2906	2546	2464	2925	2275
9	6	10	10	8	8
2	7	3	0	1	0
4375	4556	3890	3622	3658	3074
3	2	14	18	8	3
908	970	1032	889	984	713
833	873	832	879	841	638
3520	4467	4051	3505	3705	2450
1079	1313	1229	1129	1193	972
4249	5020	3706	2556	2947	2399
191	243	223	160	222	130
709	945	875	790	902	612
721	834	632	418	725	679
1427	1761	1808	1838	1827	1371
18	29	20	29	14	11
347	421	463	330	349	257
1011	1094	1215	1062	995	793
151	150	151	126	102	93
200	221	272	201	208	147
1	0	0	4	1	2
4	16	1	7	1	2
2	1	0	1	0	4
145	88	76	48	27	65
114	158	64	67	98	73
3	5	2	1	0	1
332	400	415	215	245	196
1	4	8	5	2	0
247	282	219	223	237	190
115	120	95	23	42	29
102	121	103	64	66	40
1	0	0	0	0	0
64	116	87	89	100	64
4050	4472	4593	4773	4246	3405
531	590	609	560	533	475
0	0	2	4	1	1
1	2	3	2	1	1
2944	3403	3583	3424	3187	2077
802	1318	1073	952	1067	709
0	1	0	0	2	0
11	6	11	10	10	12
320	370	369	332	336	250
328	372	326	287	314	253
1794	1838	1478	1425	1869	1553
399	361	237	182	180	170
50	38	41	32	20	26
1	2	0	3	1	1
428	577	505	589	534	354
1434	1793	1575	1581	1653	1289
197	195	227	260	211	173
397	450	483	518	471	396
106	174	201	190	134	76
32	37	20	6	6	13
569	738	556	458	475	391
774	874	1005	945	831	602
857	1224	1276	1098	1000	723
1775	2158	2109	1955	1780	1339
286	389	406	420	421	306
11	9	5	0	0	3
44	60	39	14	17	24
620	745	740	820	673	566
159	203	134	137	157	128
727	823	793	783	736	643
0	4	1	0	0	0
1208	1400	1194	972	1123	872
775	949	864	702	694	515
10587	12651	11429	7998	8325	6633
375	611	611	408	477	298
552	532	640	652	633	507
6548	7871	7412	7191	6878	5242
661	761	776	698	665	522
3870	4430	5197	4977	5074	3648
1860	2037	1744	2199	2103	1607
207	270	241	226	252	197
239	261	302	281	289	239
1889	2052	2127	1950	1890	1526
386	656	500	318	370	182
229	353	294	343	347	240
46	89	77	30	47	30
625	793	746	640	674	488
9191	9842	12421	11221	9751	8043
3783	4323	4113	3628	4080	2895
885	1067	953	1058	1092	838
186	233	353	510	303	219
1602	1969	2156	1815	1663	1168
444	460	409	371	406	365
3	3	1	1	6	1
3	3	1	0	1	5
975	1383	941	354	434	375
22	34	26	5	6	10
3090	2937	3020	3353	2900	2335
285	285	345	336	279	194
503	645	673	644	625	463
190	227	185	211	196	155
752	831	1011	868	731	457
2184	2250	2426	2631	2885	2207
23	16	33	31	39	26
245	286	310	184	127	148
654	832	858	861	808	634
11	8	15	3	3	1
641	741	641	758	666	528
14	19	20	30	26	14
29	64	74	67	67	34
299	333	396	334	295	234
1832	2090	2292	2064	1892	1312
3989	3683	3469	1775	2348	2117
0	0	1	0	0	0
1505	1592	1753	1647	1489	1324
0	4	9	4	2	1
0	0	1	0	0	1
470	599	528	498	476	321
314	377	471	417	319	286
354	417	376	404	409	331
1	5	1	3	1	2
105	143	169	131	132	94
4114	4356	4387	4075	4036	3134
43	55	61	39	21	28
338	413	550	447	286	223
28	32	45	42	42	18
14	6	5	13	9	8
0	0	0	1	0	2
18	26	18	21	15	16
4	5	0	0	1	2
10	7	3	0	0	1
109	128	78	41	50	45
138	173	137	81	90	95
6	4	9	9	6	3
5	1	5	0	1	3
1778	2285	2240	2350	2197	1408
15492	16748	16176	15722	15376	12426
734	995	924	1025	1015	629
168	210	218	276	258	175
1394	1802	1742	1694	1625	1243
2332	2651	2756	2551	2538	1904
15	9	9	6	6	7
3	3	1	1	0	3
11	22	18	22	12	9
16	21	23	29	19	12
3431	4026	4272	4231	4340	3340
17	13	26	34	41	30
59	38	38	44	52	52
667	872	824	902	776	578
1743	2439	2128	2342	2140	1333
178	247	268	259	240	162
62	101	90	84	112	68
68	79	56	34	35	42
1	2	7	6	3	5
18	25	23	32	18	13
1483	1671	1630	1534	1619	1193
287	465	488	506	458	256
224	254	275	263	274	256
413	633	502	671	597	365
111	92	100	144	158	88
540	592	683	604	626	448
430	563	522	534	579	424
778	1002	1005	1082	1186	814
1062	1147	1103	1035	1168	985
1128	1463	1274	1204	1262	1035
7101	8597	7476	6234	5776	4241
128	165	214	192	149	147
171	210	310	403	318	193
84	119	98	72	63	54
236	433	391	235	404	259
5783	6767	6452	6959	6623	4980
587	601	653	663	673	505
2031	2387	2748	5061	4178	2786
159	186	161	130	158	93
3	3	6	3	4	5
79	73	93	116	112	70
10	6	10	46	26	15
733	675	940	1330	1049	847
302	363	379	375	428	305
0	0	2	3	0	0
348	420	397	422	471	293
309	455	441	625	600	410
55	42	51	61	52	31
2	0	2	1	0	0
1	0	1	0	0	0
775	1006	1130	1127	995	665
481	719	545	583	483	363
2130	2676	2356	2364	2443	1947
3432	4671	4579	4727	3955	2659
1406	1878	1565	1395	1637	1143
1	0	0	0	0	0
2867	3024	3223	3077	2601	2193
6	15	10	18	16	12
267	346	360	346	310	231
157	192	210	204	211	132
1	0	2	8	5	4
28	58	48	34	31	33
1048	1221	1274	1329	1206	914
174	210	236	272	294	196
506	722	737	725	703	498
242	292	314	261	278	206
322	256	255	503	421	298
5000	7043	6694	6480	5932	3767
2444	2976	2722	2942	2673	1979
83	120	119	86	67	70
284	295	239	243	248	213
178	218	210	248	198	136
367	382	405	407	333	269
570	576	615	637	585	486
570	664	658	639	596	500
830	868	928	937	889	773
199	248	283	223	202	169
686	912	953	850	832	586
47	59	36	27	52	35
259	304	380	370	340	234
762	919	1032	1099	1075	703
1	0	1	2	0	1
3167	3749	3628	3556	3285	2307
626	797	691	604	698	564
30	32	28	47	52	30
1571	1704	1710	1648	1518	1261
1354	1614	1348	1312	1274	933
641	799	788	844	699	523
3	5	6	7	2	0
16	27	25	14	22	19
162	241	265	259	223	143
378	366	337	399	469	306
25	36	21	5	13	7
494	874	692	495	699	431
28	19	25	19	26	29
30	14	23	15	17	31
134	134	140	204	150	126
10772	11847	11764	11663	11474	9522
25	33	22	20	22	25
2452	2737	2723	2598	2472	2005
208	321	293	170	205	133
84	93	105	107	114	85
1	0	0	4	1	0
574	524	593	658	628	530
438	522	424	536	553	381
586	722	650	619	657	500
12380	13912	13485	13570	12576	10726
580	731	796	668	662	472
91	96	66	65	68	38
1336	1459	1549	1420	1309	1151
210	260	266	228	206	188
4	4	1	2	2	4
648	989	868	797	812	563
241	335	253	233	240	182
251	294	278	263	340	184
539	541	547	590	558	440
608	674	498	624	563	535
22	48	29	27	38	23
466	641	578	464	539	327
1198	1374	1299	1199	1260	955
1368	1604	1737	1633	1696	1164
773	844	931	858	814	689
11	14	16	11	11	9
775	1058	828	1034	1047	695
94	73	76	123	89	70
342	357	387	419	369	252
105	95	119	190	139	122
8	6	1	2	3	2
2944	3220	2921	3884	3989	3022
870	993	982	918	856	735
97	117	150	123	92	72
1	3	0	5	1	1
1133	1109	1017	1054	1167	971
14	21	18	8	5	14
4122	4713	4626	4588	4733	3750
401	498	442	512	497	381
0	1	4	6	1	4
1	0	0	0	0	0
225	195	185	245	193	202
618	773	669	349	440	488
48	116	69	43	71	40
475	515	475	474	438	382
51	100	106	103	84	46
816	849	802	738	810	688
145	167	146	120	143	119
36	57	29	30	44	19
97	167	76	72	96	65
471	769	707	627	705	378
578	594	725	678	612	525
6707	9246	8791	9101	7898	5313
53	45	33	23	40	35
348	325	343	281	322	337
2	3	5	0	1	5
401	416	439	448	451	337
1874	2351	2113	1885	1826	1380
2274	2514	1629	908	910	873
299	376	282	277	332	243
1016	1361	1434	1377	1217	841
315	390	393	293	248	208
0	0	1	0	1	2
4109	4930	4417	4483	4639	3546
29	19	19	15	8	7
2514	2748	2934	2559	2771	2264
8674	10138	8997	8925	8928	7024
48	94	95	76	64	42
74	65	84	58	82	88
285	333	305	377	318	221
1	1	1	3	1	0
0	2	1	1	0	4
188	318	383	222	184	122
422	459	531	534	572	365
