mES_2i_LIF_r3	mES_2i_LIF_r2	mES_2i_LIF_r1	mES_2i_r1	mES_2i_r2	mES_2i_r3
8757	9905	10430	11080	10547	8835
322	552	363	427	482	286
427	598	535	536	586	375
12	14	8	24	34	20
1844	2035	1878	2109	2026	1616
71	82	108	116	113	68
354	578	560	658	614	316
190	259	258	286	263	206
395	546	508	712	599	412
639	1003	987	1228	1036	686
1	0	0	0	0	0
11	11	12	19	15	15
527	484	639	643	665	712
1333	1617	1505	1481	1429	960
1813	2133	2002	2025	1974	1584
19483	20070	22224	22256	21952	17609
0	0	1	1	1	1
1709	2178	2423	2790	2936	1667
885	662	1226	2182	2549	1793
0	0	2	1	0	0
440	447	508	513	503	427
121	93	124	158	123	119
556	794	908	1089	910	601
111	116	123	132	132	108
372	520	499	509	472	375
2577	2447	2614	1370	1159	835
193	239	184	233	185	188
10	10	3	4	6	3
2	3	6	2	0	0
11	30	15	1	9	7
0	4	1	0	0	2
0	0	1	0	0	0
0	0	0	0	1	1
28	38	54	101	74	42
3055	3612	3003	2430	2673	2120
952	1222	1140	1077	1143	737
0	0	3	0	2	0
26	35	30	36	25	33
5	2	2	3	6	2
670	806	732	792	869	645
29	69	82	89	74	41
200	216	288	443	346	235
332	361	364	367	395	346
5	6	5	15	17	11
6	14	9	18	10	9
6	11	17	23	18	20
561	769	697	618	680	454
5	5	9	4	15	5
3680	4195	3906	3882	4462	3525
32751	42502	31653	22306	30007	21702
3375	3898	2979	3079	2974	2418
233	276	213	224	228	212
4	1	1	2	0	3
1872	2146	1854	1969	2167	1797
651	718	648	597	585	519
1	0	0	0	0	1
1150	1244	1596	1277	1602	1160
3163	3777	3437	4163	4099	2842
19	32	23	33	27	9
0	0	0	1	0	1
683	637	478	275	295	330
10	2	7	0	3	3
0	0	0	0	1	0
2503	2905	2535	2566	2834	2238
0	0	0	1	0	0
4790	5463	5544	5121	4519	3502
455	458	560	450	429	318
375	529	400	211	264	202
145	133	128	150	92	121
122	114	92	56	50	39
486	480	496	486	465	393
16	8	8	7	4	9
1453	1817	1677	1522	1648	1195
1379	1594	1441	1558	1512	1229
14	21	29	49	36	26
651	949	853	868	872	579
166	197	166	131	188	129
317	362	366	364	333	295
95	67	74	71	61	62
1069	1265	1141	1287	1395	1035
6	7	2	9	10	6
0	0	2	0	0	0
7	8	20	23	16	13
0	1	1	4	0	0
60	102	106	246	118	65
0	0	0	1	1	0
1	0	1	0	0	1
2	1	7	9	1	0
47	36	40	60	51	52
0	1	0	0	0	0
114	131	142	129	123	104
211	258	246	240	243	222
195	218	222	258	177	132
5	5	2	6	10	7
81	94	110	86	75	64
422	554	485	473	518	376
79	117	108	64	96	65
373	451	519	500	489	378
2806	3172	2909	2401	2375	1705
6	6	0	0	3	4
210	288	282	306	230	163
31	16	52	71	48	38
880	1108	939	852	869	690
180	158	128	132	113	147
38	37	44	84	42	38
262	345	326	241	283	228
0	1	0	0	0	0
361	381	358	397	356	235
426	450	572	1236	778	533
12	9	15	6	19	3
4	3	3	8	11	2
497	569	601	687	566	503
34	55	49	80	68	37
1897	2482	2381	1274	1231	994
2	1	1	2	1	2
4	1	2	3	1	4
1292	1348	1325	1224	1272	1112
2	0	0	0	2	1
1	0	0	0	0	0
1475	1884	1630	1925	1927	1420
913	1031	966	1249	1231	957
13	4	16	14	7	6
490	574	600	702	606	409
357	377	421	453	451	367
72	55	94	139	103	83
12	11	1	1	0	3
2334	3144	3042	3270	2880	2156
11	19	40	32	24	24
0	1	0	0	0	0
5	12	15	14	17	4
91	89	102	90	73	63
0	0	0	0	2	0
0	0	0	1	0	0
829	934	978	961	947	706
1379	1715	1473	1355	1611	1148
0	1	0	0	0	2
11	14	12	10	25	5
0	0	0	1	2	0
394	421	440	373	517	440
27	56	23	20	16	10
14164	17928	15508	16254	15424	10725
45	30	22	11	16	24
13	33	22	15	18	21
0	0	1	0	0	0
1	0	0	0	0	0
1	7	5	0	1	2
0	1	4	0	2	1
25	25	10	3	2	8
8	12	6	7	7	8
1195	1589	1538	1552	1421	1082
243	317	294	330	399	315
1	1	1	2	0	3
0	0	0	1	0	0
2	7	3	3	1	2
4307	5479	4946	5093	4606	3497
174	160	188	198	218	181
675	534	615	1102	1048	1031
92642	116800	115619	121661	103590	74334
0	1	0	0	1	0
36952	41478	43266	44877	41730	33552
141	155	175	221	199	143
390	486	511	519	460	365
2	1	1	2	2	1
330	399	318	342	383	309
1	0	0	0	3	3
0	0	0	0	1	0
12	19	16	15	9	11
0	7	3	2	1	3
5	5	3	2	5	3
4547	5049	4717	4775	5548	4235
17	15	11	80	17	8
3672	5487	4929	4617	4079	2610
0	0	0	1	0	0
0	0	0	1	0	0
1	8	1	4	3	1
0	0	2	2	1	0
1769	2319	2215	2510	2129	1436
957	1217	1100	1055	1119	829
1	1	2	1	0	2
719	885	803	957	889	705
243	261	304	319	320	226
0	0	0	0	1	0
3	8	3	8	7	6
2640	3063	2715	3061	3372	2463
32	43	44	71	79	51
496	539	478	481	486	415
656	687	742	797	806	608
542	858	894	371	418	306
0	0	3	0	0	0
23	23	13	20	11	15
43	107	64	62	47	27
689	711	671	635	684	597
3	3	1	0	1	0
0	0	0	0	4	0
5	4	12	1	4	2
164	235	243	325	288	196
43	19	21	32	21	29
0	1	1	0	0	0
193	276	297	303	306	211
207	274	236	233	265	191
0	0	2	0	0	2
1	0	0	3	0	0
3	10	4	5	11	8
1084	1258	1164	1268	1218	978
81	93	103	194	89	84
5	3	6	4	5	3
569	838	925	923	745	421
116	181	223	283	264	168
400	443	562	570	468	398
1808	2055	2139	2102	2112	1717
0	0	0	0	1	0
0	0	1	0	0	0
58	69	100	72	89	54
0	0	0	0	0	1
304	375	359	398	495	297
4	6	4	4	4	3
41	39	57	59	48	32
285	386	358	341	343	234
240	299	359	322	261	215
1	1	1	3	1	0
0	0	1	0	0	0
15	31	45	68	34	20
9	5	37	181	75	35
74	68	139	585	469	269
275	312	336	317	350	258
659	707	638	700	745	634
1584	1898	1790	1971	1940	1503
6	6	2	2	7	8
7983	9368	8680	9214	8474	6433
19	36	28	27	33	14
31	37	53	33	33	27
520	662	707	650	620	480
57	59	47	52	72	41
529	617	529	463	524	368
407	478	406	348	391	289
2049	2135	2354	2182	2351	1959
1394	1574	1594	1721	1630	1265
34	46	43	17	43	18
1	0	3	1	1	2
65	60	69	80	73	48
2	2	6	3	5	9
165	270	266	280	276	164
64	72	64	50	72	42
1123	1562	1523	1824	1688	1083
202	243	247	221	201	154
146	147	137	285	362	237
3	7	1	5	0	0
6	5	12	5	15	6
199	229	183	214	228	150
634	738	713	764	729	527
7	2	1	7	4	2
517	832	790	816	784	432
374	489	388	458	448	312
8	20	30	18	21	12
339	472	437	385	472	354
1314	1628	1661	1554	1515	1094
5	0	1	0	1	0
1	0	0	0	1	2
0	0	1	0	1	1
3	1	0	1	0	2
84	104	79	90	77	74
0	0	1	0	0	0
2	0	1	2	1	0
1435	1523	1429	1527	1604	1370
2234	2225	2415	2708	2422	2017
1208	1488	1308	1444	1400	1010
11824	15284	11841	4061	6841	5067
1471	1981	1616	1691	1673	1209
292	336	310	134	84	54
1054	1224	1098	936	878	704
98	147	137	95	121	98
230	372	304	311	338	243
302	423	430	541	487	329
73	109	78	86	81	63
0	0	0	0	1	0
14	21	12	8	7	5
1104	1060	1206	1113	1064	890
29	28	35	29	35	26
185	254	135	156	108	88
1	2	1	0	0	2
8	19	20	23	5	1
119	176	163	174	135	100
500	712	691	613	636	402
0	0	0	0	0	1
1530	1624	1491	1559	1417	1289
3017	3532	3420	3183	3365	2668
82	98	114	85	106	60
1	4	2	0	1	2
3	1	5	13	12	10
8	12	10	16	7	13
824	877	573	504	597	461
9	13	1	2	1	1
1	1	0	1	2	0
1765	2280	2372	2277	2104	1469
4	1	1	0	1	1
1090	1352	1362	1478	1285	885
668	698	694	838	792	665
1399	1976	1835	2068	1819	1235
2384	2782	2877	2934	2430	1824
2	1	3	6	5	2
7092	7927	6448	6753	7919	6491
3572	4157	4107	3867	3873	3111
1	19	9	9	14	5
1	3	3	0	1	0
0	2	0	1	0	0
370	530	477	543	593	396
0	0	0	0	2	1
2	0	0	0	0	0
63	79	84	49	56	30
112	115	106	76	124	96
33	52	49	18	26	21
0	0	1	0	0	0
0	3	1	0	4	0
0	4	4	5	1	1
398	443	369	376	374	299
732	824	858	709	771	617
1860	2049	1893	1925	2019	1484
6	15	10	5	4	5
23	26	21	9	20	32
1415	1681	1730	1971	1896	1376
120	135	123	142	120	111
3	1	1	0	0	2
0	0	0	1	2	0
1	0	1	0	0	0
19	19	7	2	8	4
113	95	95	138	130	146
476	730	556	519	605	375
86	130	93	85	88	81
7421	7586	7970	8935	8557	7083
5	45	27	16	34	19
180	239	238	215	260	155
1	2	0	4	0	1
221	315	230	112	135	115
3	2	4	3	2	2
18	35	40	31	24	9
1	1	1	1	4	6
61	96	109	76	79	55
86	117	81	139	139	79
227	346	255	260	300	216
2275	2576	2371	2433	2456	1908
66	64	76	45	72	67
39	61	79	64	52	33
9	24	20	36	30	14
124	142	152	213	275	179
3248	5009	5882	5515	5495	2913
145	194	162	111	138	96
2187	2743	2678	2696	2446	1867
67	71	62	126	92	63
0	0	0	1	0	1
2	4	1	0	2	3
114	111	105	88	141	128
663	767	548	464	561	427
2381	2461	3147	2390	2722	2144
90	127	138	110	120	111
1306	1869	1626	1661	1516	873
43	32	36	43	75	50
391	485	348	227	241	272
2	0	0	0	0	0
467	686	896	778	606	429
3	6	0	2	0	1
5	16	2	0	2	0
10	8	8	0	0	0
1	1	0	0	0	2
0	0	0	2	1	4
506	755	691	634	686	461
1896	2218	1938	1811	1963	1488
1	1	1	2	2	1
1609	1839	1880	1902	1742	1321
1410	1713	1642	1956	1807	1310
752	843	951	974	932	675
372	515	453	411	497	349
5	5	10	6	12	11
9507	11571	9165	9622	10322	7426
5	2	1	2	7	2
168	197	213	217	178	148
153	193	197	206	211	145
5	4	5	13	11	8
199	263	321	284	324	201
16	20	26	25	17	13
563	852	750	832	787	475
0	1	2	4	0	0
1281	2933	1461	1073	1517	858
386	414	330	314	385	319
929	1071	989	1091	1047	836
9	12	11	13	7	3
8	20	15	9	20	10
2618	3048	2631	2773	2904	2404
1275	1473	1328	1576	1615	1282
1332	1620	1300	1044	1512	1229
1022	1180	1152	1157	1220	870
17	34	15	4	7	8
110	138	43	3	8	29
16	18	14	10	4	5
0	2	0	0	0	0
230	290	256	245	244	204
16	39	58	46	47	15
102	158	137	106	94	72
0	0	1	0	0	0
92	174	207	236	213	123
0	0	1	0	0	0
609	1123	1016	1080	993	578
313	367	314	326	355	254
789	1201	1227	1242	964	671
1344	1467	1635	2261	2321	1505
1356	1759	1589	1501	1590	1240
0	0	0	0	0	1
392	519	566	786	572	414
1	3	2	0	1	0
112	113	98	117	104	88
599	659	615	656	578	480
1	0	0	4	0	0
301	381	406	442	447	252
1879	2527	2747	2875	2720	1713
1	0	0	1	0	0
0	0	1	0	0	0
19	41	18	16	42	36
14	10	12	13	12	17
1776	2091	2068	2261	2209	1681
332	473	497	498	481	306
392	596	619	818	728	441
1460	1673	2058	1818	1736	1301
1	1	2	3	0	0
29	38	19	6	9	12
9	11	7	5	3	8
8	18	26	31	15	18
0	3	0	0	0	0
335	412	437	420	409	291
8910	13532	13513	12777	11774	7795
0	3	5	0	2	3
8	9	7	1	12	10
0	0	0	1	0	0
3	0	0	3	5	0
2462	2653	2602	2295	2694	2210
403	631	522	552	491	302
402	451	456	475	435	377
1402	1679	1667	1863	1814	1264
914	1085	1015	801	741	549
782	1080	1159	1379	1198	696
114	120	130	203	218	122
222	216	229	283	259	209
1	0	1	2	6	2
27	25	45	32	66	54
798	1133	973	906	916	733
137	185	101	68	140	116
3231	3727	3439	3168	2987	2531
319	282	280	232	273	254
388	492	380	177	222	207
11086	13856	11547	8319	9327	6434
11	6	4	3	8	2
12362	15701	14287	14684	14447	10035
47	60	57	32	32	30
2	1	0	1	1	0
5	3	5	11	8	3
2	0	0	0	1	0
0	0	1	0	0	0
3	1	3	11	6	2
1024	941	1193	1905	1920	1594
0	0	1	1	0	0
2	2	4	10	3	9
84	107	118	141	134	94
0	1	0	0	1	0
308	374	419	455	420	297
30	46	46	52	42	37
232	298	285	318	340	258
433	483	490	488	491	415
1	1	5	2	0	0
84	131	90	113	106	89
573	1104	1036	1172	1027	462
314	321	279	283	301	246
1991	2501	2316	1986	2036	1538
0	3	0	0	1	2
29	23	28	16	33	30
0	2	1	5	2	0
111	48	73	124	113	76
154	251	224	316	316	157
979	1307	1311	1705	1593	934
126	83	107	205	204	255
361	500	415	501	462	342
683	904	765	789	883	613
1	0	1	2	0	1
327	397	420	466	398	311
73	84	68	70	72	82
1	1	0	1	0	1
5	5	10	37	28	17
8	5	5	20	35	32
0	0	0	3	0	1
265	322	381	368	359	275
0	0	0	0	0	1
0	0	0	4	4	0
486	554	618	572	632	482
7097	8283	9116	9938	8884	6897
139	188	149	192	269	149
384	585	615	651	568	315
1	1	5	3	2	4
339	404	425	534	516	306
405	472	475	419	447	364
158	227	276	203	242	149
340	496	518	450	478	277
198	284	301	200	201	163
2121	2549	2168	3100	2820	2028
0	0	0	1	0	0
2	0	3	1	0	0
715	927	955	971	886	583
0	0	0	0	0	1
82	78	94	82	65	57
1	0	1	3	3	0
289	293	306	284	329	300
100	153	164	153	207	140
13520	18863	16455	15943	15569	9580
8	8	2	0	0	1
0	0	0	1	0	0
233	237	233	265	212	184
827	906	1014	981	928	817
351	435	392	450	421	282
609	736	689	758	823	608
176	201	159	214	195	160
0	0	0	1	0	0
0	0	2	0	0	1
2	0	0	0	1	0
1	4	3	3	3	5
935	1197	1251	1379	1335	915
119	109	119	121	80	117
472	515	574	548	548	422
694	683	754	664	599	616
3635	5108	3709	2646	2793	1796
173	273	270	366	298	192
478	573	536	568	522	432
76	90	78	60	59	43
382	518	448	597	564	349
123	150	136	121	129	109
0	1	0	3	0	0
783	940	768	895	951	742
3	14	4	13	6	5
150	172	124	76	105	112
1	0	0	0	0	0
1549	2235	2323	2672	2611	1538
2717	2717	3130	5527	4030	3091
1129	1301	1269	1439	1440	1034
58	24	34	76	60	58
5	7	5	3	3	5
77	114	112	115	93	79
5	8	14	15	6	7
0	0	0	1	0	0
5	12	8	10	8	3
4052	4614	4121	4136	4302	3423
961	1067	946	998	958	839
638	628	649	843	809	683
31	47	67	76	51	76
0	1	5	3	8	4
3	15	15	6	6	0
209	217	211	757	513	381
1036	1151	1287	1114	1127	962
5	8	3	7	2	6
0	1	0	1	1	3
16	23	24	0	0	3
121	151	117	133	163	111
350	460	222	113	81	55
376	514	498	625	453	328
624	1021	968	1037	993	538
0	1	3	2	1	1
1	3	5	10	6	2
0	1	2	1	2	0
473	615	528	547	511	335
299	271	277	291	282	265
11	6	2	3	4	4
0	0	1	0	0	0
43	47	86	9	7	4
0	0	2	0	0	1
6	10	7	8	4	10
863	999	959	982	1083	778
2	2	1	3	3	2
13	26	12	14	7	2
7	4	2	0	2	1
269	330	343	228	229	185
0	1	1	1	1	0
1	0	2	1	2	1
2953	3350	3688	3445	3172	2471
23	36	38	18	20	19
270	422	322	298	363	208
161	219	229	182	218	139
519	639	685	636	557	474
578	637	625	576	618	480
283	320	310	302	380	244
320	305	295	276	317	287
1752	1833	2303	1829	1849	1528
5	3	4	5	4	6
28	50	72	59	38	20
774	1038	860	818	744	592
1154	1444	1668	1792	1543	1070
4	6	4	7	4	4
518	626	584	518	450	356
71	61	66	63	72	41
0	0	1	0	1	0
5	8	2	1	6	5
1	1	6	0	1	2
0	0	1	0	0	0
4	7	4	0	1	4
616	926	815	786	817	508
3	2	1	0	0	1
684	866	664	610	713	518
3618	4308	3625	3452	3570	2826
703	826	648	764	707	562
1915	2544	1999	2186	2247	1664
70	110	129	229	153	96
1	5	3	17	10	10
0	0	1	28	4	4
230	302	274	360	293	252
3	5	5	9	4	2
1	2	1	11	5	5
6	13	9	11	11	5
379	503	522	483	517	340
2	1	0	5	2	2
47	40	92	157	99	78
935	1133	1064	890	986	685
72	78	69	51	36	44
0	1	0	0	0	0
2	1	4	2	4	2
0	0	1	1	0	0
4	4	2	14	10	14
1004	1332	1232	1440	1553	1115
0	0	1	0	0	0
1	0	0	0	0	0
0	0	0	0	1	0
470	470	579	1255	611	468
1	0	0	0	0	0
287	262	309	153	161	134
0	0	1	4	0	0
2	3	0	0	5	2
1233	1384	1257	1152	1373	1120
4	1	0	1	2	1
221	341	284	330	340	205
29	42	32	62	28	29
1275	1550	1321	1297	1390	1200
0	0	0	2	0	0
0	0	1	0	1	0
20	7	9	12	8	13
362	674	575	692	707	307
82	72	84	67	64	68
80	97	93	154	135	66
159	265	283	388	342	143
3546	4532	3891	4099	4490	3401
0	2	1	0	0	0
0	2	0	1	3	2
307	369	487	513	456	297
153	192	220	166	164	107
41059	48419	47512	53765	49310	38342
64	94	98	172	122	91
9	13	16	15	14	12
437	524	423	385	444	391
161	171	178	161	184	128
278	371	360	368	340	250
454	572	602	432	720	564
5	0	3	6	5	1
3673	4617	4279	4396	4522	3182
962	1258	1184	1257	1215	853
68	76	89	102	81	86
126	120	129	103	85	87
30	44	30	30	29	21
0	0	0	1	0	0
15230	15970	16120	14316	16066	12944
425	529	496	451	481	345
2	4	3	4	1	2
892	1152	1092	1049	1008	647
1101	1330	1434	1381	1642	1152
2145	2401	2400	2260	2089	1657
720	899	1120	1650	2022	1121
726	783	849	966	854	660
60	81	168	712	582	332
78	97	101	128	120	100
255	244	347	227	247	209
1	0	0	0	0	0
1891	2345	2275	2066	2231	1673
465	587	612	560	542	399
2094	2815	2600	3224	2681	1883
0	0	2	8	7	2
2225	2853	2796	3503	3046	2092
7575	9116	8433	12255	9307	6669
1123	1212	1370	1278	1185	987
0	0	0	1	0	0
870	977	874	959	1178	854
557	656	663	733	738	444
577	760	690	721	714	516
