logFC	P.Value	tf	DMSO	FS_24h	p_adjusted	sig
1.62461438592123	2.10730700023911e-05	THRB	-1.53651476124043	0.0880996246808012	0.000453071005051409	Upregulated
0.756386367052914	0.00016355188564184	CEBPA	-1.18632939831078	-0.429943031257862	0.00301402760682819	Upregulated
-0.543317448594142	0.00381868847793998	ATF2	0.493156923055165	-0.050160525538977	0.0365654488192946	NS
0.511137189160972	0.00702421071979029	AHR::ARNT	-1.36449376624766	-0.853356577086688	0.0604082121901965	NS
0.484719035810562	0.0123414599680874	ATF4	1.46728712191912	1.95200615772968	0.0995030209927046	NS
-0.147392050758065	0.0893835776686757	ELK1_A	3.70637790495891	3.55898585420084	0.524112796329962	NS
0.187433579910949	0.106079403728451	GATA4	-0.707919629195829	-0.52048604928488	0.547369723238807	NS
0.290474051166202	0.185541162749799	NFIA	-1.83635755305551	-1.54588350188931	0.763458905507052	NS
0.226160521926145	0.254253333611926	RANDOM1_3_minP	-2.43805502562742	-2.21189450370128	0.763458905507052	NS
0.203927355613143	0.251494711834717	ATF6	-1.99560487752101	-1.79167752190787	0.763458905507052	NS
-0.141217799272859	0.368507714398676	ETS2	3.24064136912443	3.09942356985157	0.857188087274161	NS
0.137976164740543	0.445982454506826	MYBL2	-2.4367488590201	-2.29877269427956	0.92793123599001	NS
0.179315023840659	0.455390022109608	POU2F1	0.262107353210726	0.441422377051385	0.931514621541679	NS
-0.166669842050632	0.483793113489633	RANDOM1_1_minP	-2.14336057802599	-2.31003042007662	0.931514621541679	NS
0.125932177524826	0.540939975757405	ZFP42	-2.449254236701	-2.32332205917617	0.936313341342127	NS
-0.146399721581787	0.500953536779532	NR1I3	-1.97484000199612	-2.12123972357791	0.936313341342127	NS
-0.130829854229454	0.603100576919173	RANDOM2_2_minP	-2.28845273864253	-2.41928259287198	0.936313341342127	NS
0.116139059905966	0.593255158385497	RUNX2	-1.71650930462138	-1.60037024471542	0.936313341342127	NS
-0.108733414297797	0.665734301555884	AR	-2.52813289468907	-2.63686630898686	0.936313341342127	NS
0.124278469000436	0.564532057104689	SREBF1	-2.19360412291303	-2.06932565391259	0.936313341342127	NS
0.117009076009438	0.611441499503742	HIF1A	-2.25243574995399	-2.13542667394455	0.936313341342127	NS
-0.132032395784306	0.589558203474829	RXRA	-2.18580347150589	-2.31783586729019	0.936313341342127	NS
0.0905346404677046	0.646110533481597	NR3C2	-1.83201456091898	-1.74147992045128	0.936313341342127	NS
-0.0994553565303045	0.653677024038085	GRHL1	-2.07020550971166	-2.16966086624196	0.936313341342127	NS
0.0700872885625307	0.750335741048992	RARA	-2.54405142964127	-2.47396414107874	0.936450156163708	NS
0.123895615446206	0.667758351964927	WT1	-2.19955799048207	-2.07566237503586	0.936313341342127	NS
-0.0808195964579387	0.675406304889005	RANDOM2_3_minP	-2.294626653578	-2.37544625003594	0.936450156163708	NS
-0.0237423035419648	0.922381076636638	STAT1	-1.45206110105085	-1.47580340459282	0.967767970609754	NS
-0.0908556003575323	0.705761969294248	OTX1	-2.59078573365451	-2.68164133401204	0.936450156163708	NS
0.0154219410390881	0.941368899220972	RANDOM3_3_minP	-2.08691972741227	-2.07149778637319	0.971492703996043	NS
-0.0836184581235602	0.721842930648021	RANDOM1_2_minP	-2.15571282745699	-2.23933128558055	0.936450156163708	NS
-0.0714571493024663	0.80985417426701	RANDOM3_2_minP	-2.13157710264582	-2.20303425194828	0.945405035196353	NS
0.0484117738346452	0.835357790514484	RANDOM3_1_minP	-2.15981983906242	-2.11140806522777	0.962153169431861	NS
-0.0690602870982933	0.727396603775675	ONECUT1	-1.73754040469586	-1.80660069179415	0.936450156163708	NS
-0.025576313250329	0.908790804854563	PPARA::RXRA	-2.04364612922168	-2.06922244247201	0.967767970609754	NS
0.0227763072356152	0.894463108947797	PGR	-2.20516927032579	-2.18239296309018	0.967767970609754	NS
0.00983494943545576	0.97510399358164	RANDOM2_1_minP	-2.47252841168932	-2.46269346225386	0.995668796912971	NS
0.745695501073088	1.13136013994656e-08	MTF1	0.412450560577642	1.15814606165073	7.29727290265531e-07	Upregulated
1.08387057001339	6.23100088449152e-08	FOS::JUN	1.68369291095571	2.7675634809691	2.67933038033135e-06	Upregulated
0.926860546181111	6.35593977576638e-07	CEBPB	-1.27881629981649	-0.351955753635375	2.04979057768466e-05	Upregulated
0.698090463726211	2.0626199926505e-06	XBP1	-1.10753066777975	-0.40944020405354	5.32155958103829e-05	Upregulated
-0.455672052082444	0.0006482176133716	REL	3.02271505450296	2.56704300242052	0.00760182473863058	Downregulated
0.462686056013397	0.00396834328271414	POU5F1::SOX2	-1.39607506197108	-0.933389005957686	0.0365654488192946	NS
-0.391299453600337	0.0132586648360968	STAT1::STAT2	3.18319397869252	2.79189452509218	0.100609868462147	NS
0.272094907795484	0.0450334370660017	TFEB	0.150106113532398	0.422201021327882	0.322739632306346	NS
0.22606916593043	0.0786941536884561	MYC	-1.72477611694145	-1.49870695101102	0.48340694408623	NS
-0.193470635690639	0.0782884060889659	NRF1	3.01487333968293	2.82140270399229	0.48340694408623	NS
-0.210425865991375	0.136446557929827	GATA1	-2.62474442126822	-2.83517028725959	0.651911332331395	NS
0.228924895342218	0.133509645924721	RANDOM2_3_mCMV	-2.40064585017902	-2.1717209548368	0.651911332331395	NS
-0.189276968183817	0.173978742255206	E2F1	-1.86271838339269	-2.05199535157651	0.748108591697388	NS
0.147506796735887	0.198598800561274	TP53	-0.336510831581704	-0.189004034845817	0.763458905507052	NS
-0.140618890015722	0.211485803396939	ELK1_B	2.76461181369902	2.62399292368329	0.763458905507052	NS
-0.170863597353031	0.269520496066938	RORA	-1.89036436991841	-2.06122796727144	0.763458905507052	NS
0.138114844150906	0.230954950464626	NFYA	-0.859687458782595	-0.721572614631689	0.763458905507052	NS
0.160874068530496	0.261080811461986	THRA	-1.94486850188116	-1.78399443335067	0.763458905507052	NS
0.148470370092062	0.254547332243574	HSF1	-2.0787586816204	-1.93028831152834	0.763458905507052	NS
-0.177959276463256	0.280583212800973	TFCP2L1	-1.42017020905503	-1.59812948551828	0.763458905507052	NS
-0.149223938216165	0.295914304460098	RANDOM1_2_mCMV	-1.96869317879134	-2.11791711700751	0.763458905507052	NS
0.136355928708148	0.294204564890811	NR4A1	-2.07862006382169	-1.94226413511355	0.763458905507052	NS
0.135220774078336	0.277235764958138	RANDOM1_3_mCMV	-2.3401823155369	-2.20496154145857	0.763458905507052	NS
