logFC	P.Value	tf	DMSO	LIF3	p_adjusted	sig
-0.27391530664362	0.0394126149466978	RXRA	0.900286239059061	0.62637093241544	0.415652851062661	NS
0.401726367634965	0.0364669099481722	RANDOM2_1_minP	-1.47774270454024	-1.07601633690527	0.415652851062661	NS
0.33410822597784	0.0436493074345852	MYBL2	-1.0007371934322	-0.666628967454362	0.415652851062661	NS
0.215657297452311	0.146180051609728	RANDOM3_3_minP	-0.695932577964481	-0.48027528051217	0.672542266954426	NS
0.228351738121215	0.154424947324352	ZFP42	-1.08724295098326	-0.858891212862049	0.672542266954426	NS
0.239769557569458	0.154245937427833	RANDOM1_3_minP	-1.32227099017515	-1.08250143260569	0.672542266954426	NS
0.261446523899653	0.154475937200972	NFAT5	-0.455300076480417	-0.193853552580764	0.672542266954426	NS
0.281929983780895	0.174000067690578	ONECUT1	-1.40512556389433	-1.12319558011344	0.680182082790441	NS
0.243079247624542	0.198200956821022	RANDOM1_1_minP	-1.30015632314255	-1.05707707551801	0.730512097997482	NS
-0.229964856804409	0.316394189978177	RARA	-2.52128773246056	-2.75125258926497	0.86802305667349	NS
0.2162087227533	0.340891237036122	THRB	-0.659884100949411	-0.443675378196112	0.86802305667349	NS
0.16754299397856	0.352272703630333	RANDOM1_2_minP	-1.26122674347748	-1.09368374949892	0.86802305667349	NS
0.158380527317768	0.363132123759328	RANDOM2_2_minP	-1.29324334145285	-1.13486281413509	0.86802305667349	NS
-0.156825890323032	0.347768532086847	POU5F1::SOX2	2.72671029586578	2.56988440554274	0.86802305667349	NS
0.146146170115361	0.39101530630694	RANDOM2_3_minP	-1.20077381689175	-1.05462764677639	0.86802305667349	NS
0.18320457656516	0.410460515171185	OTX1	-0.993844257163235	-0.810639680598075	0.86802305667349	NS
0.134714599504206	0.390485441473041	ZFX	-0.496796903218263	-0.362082303714057	0.86802305667349	NS
0.160221336465406	0.438739978287471	ATF2	-0.832029972182972	-0.671808635717566	0.884335268735684	NS
0.111842096877763	0.510153195249992	RANDOM3_2_minP	-0.700814216194786	-0.588972119317023	0.890857641398841	NS
-0.0717320582250654	0.625872586529092	ATF4	2.32486994536386	2.2531378871388	0.928017973129343	NS
0.0631699374390567	0.769614840814401	RUNX2	-1.20756047980016	-1.1443905423611	0.948797978487585	NS
0.090771216083844	0.611155378594518	CEBPA	-1.24449671524131	-1.15372549915746	0.927518162808151	NS
-0.0926488096962155	0.603379974226042	ETS2	1.20007834094156	1.10742953124535	0.92661924613285	NS
0.0792814043192328	0.715936128505905	GATA3	-1.2501864265932	-1.17090502227396	0.941411719001189	NS
0.0379192367321269	0.828067015235544	AR	-1.44999934793604	-1.41208011120391	0.962348152841308	NS
0.00859032264789372	0.960172397141999	ATF6	0.603634054843831	0.612224377491725	0.984763658191153	NS
-0.0832186520622168	0.583618950090439	POU2F1	0.425205253679423	0.341986601617206	0.918132250752031	NS
-0.00951439740122212	0.960407747799312	PPARA::RXRA	-0.919040770832407	-0.928555168233629	0.984763658191153	NS
0.0235405581083638	0.920445469609187	STAT1	-2.11072014753744	-2.08717958942908	0.984763658191153	NS
0.00395915209728894	0.98236541877134	PGR	-0.945585166754048	-0.941626014656759	0.984763658191153	NS
-0.0435143141708239	0.774913671246544	NFIA	-1.34196297919026	-1.38547729336108	0.948797978487585	NS
0.0157380304685483	0.923414350893654	GRHL1	0.837185712870374	0.852923743338923	0.984763658191153	NS
-0.0345324560272005	0.786987470528462	FOXO1	-0.729770624990333	-0.764303081017534	0.948797978487585	NS
0.0337732912753558	0.81700987846925	RANDOM3_1_minP	-0.626417285231103	-0.592643993955747	0.962348152841308	NS
-0.587499901205921	0.00139824917370895	STAT4	-0.0510151483822078	-0.638515049588129	0.090187071704227	NS
0.341710362928481	0.0289117008196116	RANDOM1_2_mCMV	-1.93174715358975	-1.59003679066127	0.415652851062661	NS
-0.26866896378437	0.0451096117432345	RARA:RXRA	-0.265312718850765	-0.533981682635135	0.415652851062661	NS
0.231823379928361	0.044930886810507	MEF2A	0.619985832829271	0.851809212757632	0.415652851062661	NS
0.222752508956817	0.0639344533503345	RANDOM1_3_mCMV	-2.12588928144811	-1.9031367724913	0.547380343547296	NS
-0.342476715192489	0.0823193492485947	NR1H2	1.26108554562635	0.918608830433859	0.624658591356984	NS
-0.152670830595128	0.1209385207554	NR4A1	-1.3654925585605	-1.51816338915563	0.672542266954426	NS
0.233067880266899	0.137085853318299	RANDOM2_2_mCMV	-2.30823833561412	-2.07517045534723	0.672542266954426	NS
0.152556178427574	0.159921810072951	FOS::JUN	0.593116396229911	0.745672574657485	0.672542266954426	NS
0.238682509937318	0.155012319777189	GATA1	-2.48221320268703	-2.24353069274971	0.672542266954426	NS
0.218552776307596	0.161618684306877	SRF	-0.977383138272335	-0.758830361964739	0.672542266954426	NS
0.236263647699663	0.194737656749696	HSF1	-2.31044364645088	-2.07417999875122	0.730512097997482	NS
0.169684028747148	0.221666449887955	TEAD1	1.17446882537516	1.34415285412231	0.794304778765172	NS
0.132772753503351	0.420495733234397	HNF4A	-0.665365581464726	-0.532592827961375	0.874902412697374	NS
0.211936260599782	0.250695638671201	RORA	-2.12595018859107	-1.91401392799128	0.838018209523585	NS
0.176823506944754	0.318973603514518	REL	1.31760681584579	1.49443032279055	0.86802305667349	NS
-0.217303340877131	0.496174519724406	TCF7	1.35170036404935	1.13439702317221	0.890857641398841	NS
-0.155173264235078	0.379237333445917	TFCP2L1	1.61769639336207	1.46252312912699	0.86802305667349	NS
0.104181875660417	0.370720238305557	SREBF1	-2.27125282279585	-2.16707094713544	0.86802305667349	NS
0.100536352849797	0.543692009130267	NR1D1	-2.66331409465878	-2.56277774180899	0.89918293817698	NS
-0.0928579723829092	0.37355081241201	MAF::NFE2	1.90793191518328	1.81507394280037	0.86802305667349	NS
-0.14530202170326	0.383389334580279	RBPJ	-2.24219970936007	-2.38750173106333	0.86802305667349	NS
